trial	response_type	probability
0	0	0.05519547
0	1	0.31673607
0	2	0.30650553
0	3	0.32156298
1	0	0.037102472
1	1	0.24497196
1	2	0.34866276
1	3	0.36926287
2	0	0.025931539
2	1	0.19256085
2	2	0.3777101
2	3	0.4037975
3	0	0.019034408
3	1	0.1538754
3	2	0.3977931
3	3	0.42929712
4	0	0.014775999
4	1	0.12505151
4	2	0.41166374
4	3	0.44850877
5	0	0.012146782
5	1	0.10339932
5	2	0.42117137
5	3	0.46328253
6	0	0.010523457
6	1	0.087020576
6	2	0.42757505
6	3	0.4748808
7	0	0.009521188
7	1	0.074557826
7	2	0.43174386
7	3	0.48417705
8	0	0.00890237
8	1	0.06502824
8	2	0.43428564
8	3	0.4917836
9	0	0.0085203005
9	1	0.057712
9	2	0.4356317
9	3	0.49813586
10	0	0.008284404
10	1	0.05207642
10	2	0.43609163
10	3	0.5035474
11	0	0.008138758
11	1	0.047723763
11	2	0.4358907
11	3	0.50824654
12	0	0.008048832
12	1	0.04435467
12	2	0.43519455
12	3	0.5124017
13	0	0.007993312
13	1	0.041742317
13	2	0.43412602
13	3	0.5161381
14	0	0.0079590315
14	1	0.0397139
14	2	0.43277717
14	3	0.51954967
15	0	0.007937867
15	1	0.03813713
15	2	0.43121737
15	3	0.52270746
16	0	0.0079248
16	1	0.03691034
16	2	0.4294993
16	3	0.5256654
17	0	0.007916732
17	1	0.03595517
17	2	0.42766312
17	3	0.5284648
18	0	0.00791175
18	1	0.03521106
18	2	0.42573962
18	3	0.53113735
19	0	0.007908675
19	1	0.03463112
19	2	0.42375246
19	3	0.5337076
20	0	0.007906776
20	1	0.034178957
20	2	0.42171973
20	3	0.5361943
21	0	0.007905603
21	1	0.033826325
21	2	0.41965556
21	3	0.53861225
22	0	0.00790488
22	1	0.033551253
22	2	0.41757083
22	3	0.5409728
23	0	0.007904433
23	1	0.033336643
23	2	0.4154739
23	3	0.54328483
24	0	0.007904156
24	1	0.03316918
24	2	0.41337124
24	3	0.5455552
