trial	strategy	probability
0	0	0.145321
0	1	0.35671186
0	2	0.4755797
0	3	0.022387458
1	0	0.08972373
1	1	0.27900296
1	2	0.60064507
1	3	0.030628271
2	0	0.055397
2	1	0.21813868
2	2	0.6876775
2	3	0.03878682
3	0	0.03420308
3	1	0.17050005
3	2	0.74845666
3	3	0.046840202
4	0	0.02111758
4	1	0.13323312
4	2	0.79086804
4	3	0.054781236
5	0	0.013038363
5	1	0.10409207
5	2	0.82025856
5	3	0.062610954
6	0	0.008050114
6	1	0.081312664
6	2	0.8403028
6	3	0.070334315
7	0	0.0049702814
7	1	0.063510776
7	2	0.85356104
7	3	0.07795778
8	0	0.0030687388
8	1	0.04960165
8	2	0.86184144
8	3	0.08548803
9	0	0.0018946931
9	1	0.038735826
9	2	0.866438
9	3	0.092931345
10	0	0.0011698167
10	1	0.030248525
10	2	0.86828816
10	3	0.10029331
11	0	0.00072226534
11	1	0.023619765
11	2	0.868079
11	3	0.10757874
12	0	0.00044593928
12	1	0.018442981
12	2	0.8663191
12	3	0.11479173
13	0	0.00027533073
13	1	0.014400387
13	2	0.86338836
13	3	0.12193571
14	0	0.00016999402
14	1	0.011243651
14	2	0.8595726
14	3	0.12901354
15	0	0.00010495728
15	1	0.00877875
15	2	0.8550885
15	3	0.1360276
16	0	6.4802465e-05
16	1	0.006854122
16	2	0.850101
16	3	0.14297989
17	0	4.0010178e-05
17	1	0.0053513837
17	2	0.84473634
17	3	0.14987206
18	0	2.4702984e-05
18	1	0.0041780774
18	2	0.8390915
18	3	0.15670554
19	0	1.5252055e-05
19	1	0.0032619992
19	2	0.83324105
19	3	0.16348153
20	0	9.416886e-06
20	1	0.0025467644
20	2	0.82724255
20	3	0.17020106
21	0	5.8141504e-06
21	1	0.0019883453
21	2	0.8211406
21	3	0.17686504
22	0	3.5897583e-06
22	1	0.0015523632
22	2	0.81496954
22	3	0.18347427
23	0	2.2163797e-06
23	1	0.001211975
23	2	0.8087561
23	3	0.19002947
24	0	1.3684316e-06
24	1	0.000946222
24	2	0.8025209
24	3	0.1965313
