subject_id	rank	trial	strategy
89	0	0	1
89	1	0	1
89	2	0	0
89	3	0	2
89	4	0	1
90	0	0	1
90	1	0	1
90	2	0	1
90	3	0	1
90	4	0	0
91	0	0	0
91	1	0	0
91	2	0	0
91	3	0	0
91	4	0	0
92	0	0	1
92	1	0	0
92	2	0	2
92	3	0	1
92	4	0	1
93	0	0	1
93	1	0	1
93	2	0	1
93	3	0	1
93	4	0	0
94	0	0	2
94	1	0	2
94	2	0	2
94	3	0	1
94	4	0	2
95	0	0	2
95	1	0	2
95	2	0	2
95	3	0	2
95	4	0	2
96	0	0	1
96	1	0	1
96	2	0	1
96	3	0	0
96	4	0	1
97	0	0	2
97	1	0	2
97	2	0	1
97	3	0	2
97	4	0	2
98	0	0	1
98	1	0	1
98	2	0	0
98	3	0	2
98	4	0	1
99	0	0	1
99	1	0	1
99	2	0	1
99	3	0	1
99	4	0	0
100	0	0	2
100	1	0	2
100	2	0	2
100	3	0	2
100	4	0	2
101	0	0	1
101	1	0	0
101	2	0	2
101	3	0	1
101	4	0	1
102	0	0	2
102	1	0	3
102	2	0	2
102	3	0	2
102	4	0	2
103	0	0	2
103	1	0	2
103	2	0	2
103	3	0	2
103	4	0	2
104	0	0	0
104	1	0	1
104	2	0	0
104	3	0	1
104	4	0	0
105	0	0	2
105	1	0	2
105	2	0	2
105	3	0	2
105	4	0	2
106	0	0	1
106	1	0	1
106	2	0	1
106	3	0	0
106	4	0	1
107	0	0	2
107	1	0	0
107	2	0	3
107	3	0	0
107	4	0	1
108	0	0	2
108	1	0	2
108	2	0	1
108	3	0	2
108	4	0	2
109	0	0	1
109	1	0	0
109	2	0	2
109	3	0	1
109	4	0	1
110	0	0	2
110	1	0	3
110	2	0	1
110	3	0	0
110	4	0	2
111	0	0	2
111	1	0	2
111	2	0	2
111	3	0	2
111	4	0	2
112	0	0	1
112	1	0	0
112	2	0	2
112	3	0	1
112	4	0	1
113	0	0	1
113	1	0	0
113	2	0	2
113	3	0	1
113	4	0	1
114	0	0	1
114	1	0	1
114	2	0	0
114	3	0	1
114	4	0	1
115	0	0	2
115	1	0	1
115	2	0	3
115	3	0	0
115	4	0	2
116	0	0	2
116	1	0	2
116	2	0	1
116	3	0	2
116	4	0	2
117	0	0	0
117	1	0	0
117	2	0	0
117	3	0	0
117	4	0	0
118	0	0	2
118	1	0	1
118	2	0	1
118	3	0	0
118	4	0	2
119	0	0	1
119	1	0	1
119	2	0	2
119	3	0	1
119	4	0	1
120	0	0	0
120	1	0	0
120	2	0	0
120	3	0	0
120	4	0	0
121	0	0	1
121	1	0	1
121	2	0	0
121	3	0	1
121	4	0	2
122	0	0	3
122	1	0	2
122	2	0	2
122	3	0	2
122	4	0	2
123	0	0	1
123	1	0	1
123	2	0	1
123	3	0	0
123	4	0	0
124	0	0	2
124	1	0	1
124	2	0	2
124	3	0	0
124	4	0	2
125	0	0	2
125	1	0	1
125	2	0	0
125	3	0	2
125	4	0	1
126	0	0	1
126	1	0	1
126	2	0	1
126	3	0	0
126	4	0	1
127	0	0	1
127	1	0	0
127	2	0	2
127	3	0	1
127	4	0	1
128	0	0	1
128	1	0	1
128	2	0	0
128	3	0	1
128	4	0	1
129	0	0	2
129	1	0	2
129	2	0	2
129	3	0	2
129	4	0	2
130	0	0	2
130	1	0	1
130	2	0	1
130	3	0	1
130	4	0	0
131	0	0	2
131	1	0	1
131	2	0	2
131	3	0	1
131	4	0	1
132	0	0	2
132	1	0	1
132	2	0	0
132	3	0	2
132	4	0	1
133	0	0	2
133	1	0	2
133	2	0	2
133	3	0	1
133	4	0	2
134	0	0	2
134	1	0	0
134	2	0	0
134	3	0	2
134	4	0	1
135	0	0	1
135	1	0	1
135	2	0	0
135	3	0	1
135	4	0	1
136	0	0	2
136	1	0	1
136	2	0	0
136	3	0	2
136	4	0	1
137	0	0	2
137	1	0	1
137	2	0	0
137	3	0	2
137	4	0	1
138	0	0	2
138	1	0	2
138	2	0	2
138	3	0	2
138	4	0	1
139	0	0	2
139	1	0	1
139	2	0	1
139	3	0	0
139	4	0	2
140	0	0	2
140	1	0	1
140	2	0	1
140	3	0	0
140	4	0	1
141	0	0	1
141	1	0	1
141	2	0	0
141	3	0	1
141	4	0	1
142	0	0	1
142	1	0	1
142	2	0	1
142	3	0	1
142	4	0	1
143	0	0	2
143	1	0	1
143	2	0	1
143	3	0	2
143	4	0	1
144	0	0	2
144	1	0	1
144	2	0	1
144	3	0	1
144	4	0	0
145	0	0	2
145	1	0	1
145	2	0	0
145	3	0	2
145	4	0	2
146	0	0	2
146	1	0	1
146	2	0	0
146	3	0	1
146	4	0	2
147	0	0	2
147	1	0	1
147	2	0	0
147	3	0	2
147	4	0	2
148	0	0	1
148	1	0	1
148	2	0	1
148	3	0	1
148	4	0	1
149	0	0	1
149	1	0	0
149	2	0	2
149	3	0	1
149	4	0	1
150	0	0	1
150	1	0	1
150	2	0	0
150	3	0	1
150	4	0	2
151	0	0	0
151	1	0	0
151	2	0	0
151	3	0	1
151	4	0	2
152	0	0	1
152	1	0	0
152	2	0	2
152	3	0	1
152	4	0	1
153	0	0	2
153	1	0	1
153	2	0	2
153	3	0	2
153	4	0	0
154	0	0	0
154	1	0	1
154	2	0	0
154	3	0	2
154	4	0	1
155	0	0	2
155	1	0	1
155	2	0	2
155	3	0	0
155	4	0	2
156	0	0	1
156	1	0	0
156	2	0	2
156	3	0	1
156	4	0	1
157	0	0	1
157	1	0	1
157	2	0	0
157	3	0	1
157	4	0	1
158	0	0	2
158	1	0	1
158	2	0	2
158	3	0	0
158	4	0	2
159	0	0	2
159	1	0	1
159	2	0	0
159	3	0	1
159	4	0	3
160	0	0	2
160	1	0	1
160	2	0	1
160	3	0	2
160	4	0	0
161	0	0	2
161	1	0	1
161	2	0	0
161	3	0	1
161	4	0	2
162	0	0	1
162	1	0	1
162	2	0	1
162	3	0	1
162	4	0	0
163	0	0	2
163	1	0	1
163	2	0	0
163	3	0	2
163	4	0	1
164	0	0	1
164	1	0	0
164	2	0	2
164	3	0	1
164	4	0	1
165	0	0	0
165	1	0	1
165	2	0	0
165	3	0	1
165	4	0	0
166	0	0	2
166	1	0	1
166	2	0	2
166	3	0	0
166	4	0	2
167	0	0	1
167	1	0	1
167	2	0	1
167	3	0	0
167	4	0	1
168	0	0	2
168	1	0	1
168	2	0	2
168	3	0	0
168	4	0	2
169	0	0	1
169	1	0	0
169	2	0	2
169	3	0	1
169	4	0	1
170	0	0	2
170	1	0	1
170	2	0	0
170	3	0	2
170	4	0	1
171	0	0	2
171	1	0	1
171	2	0	0
171	3	0	1
171	4	0	2
172	0	0	2
172	1	0	1
172	2	0	1
172	3	0	0
172	4	0	1
173	0	0	2
173	1	0	1
173	2	0	0
173	3	0	2
173	4	0	1
174	0	0	2
174	1	0	1
174	2	0	0
174	3	0	2
174	4	0	1
175	0	0	0
175	1	0	0
175	2	0	0
175	3	0	0
175	4	0	0
176	0	0	2
176	1	0	2
176	2	0	2
176	3	0	1
176	4	0	2
177	0	0	1
177	1	0	1
177	2	0	1
177	3	0	1
177	4	0	0
178	0	0	1
178	1	0	1
178	2	0	0
178	3	0	1
178	4	0	1
179	0	0	2
179	1	0	1
179	2	0	0
179	3	0	1
179	4	0	2
180	0	0	2
180	1	0	1
180	2	0	0
180	3	0	1
180	4	0	2
181	0	0	2
181	1	0	1
181	2	0	0
181	3	0	1
181	4	0	1
182	0	0	1
182	1	0	1
182	2	0	1
182	3	0	1
182	4	0	1
183	0	0	1
183	1	0	1
183	2	0	1
183	3	0	1
183	4	0	0
184	0	0	2
184	1	0	1
184	2	0	1
184	3	0	0
184	4	0	1
185	0	0	2
185	1	0	1
185	2	0	0
185	3	0	2
185	4	0	1
186	0	0	2
186	1	0	1
186	2	0	0
186	3	0	1
186	4	0	2
187	0	0	1
187	1	0	1
187	2	0	1
187	3	0	1
187	4	0	0
188	0	0	2
188	1	0	1
188	2	0	0
188	3	0	1
188	4	0	2
189	0	0	2
189	1	0	2
189	2	0	2
189	3	0	2
189	4	0	2
190	0	0	1
190	1	0	1
190	2	0	1
190	3	0	1
190	4	0	1
191	0	0	1
191	1	0	0
191	2	0	2
191	3	0	1
191	4	0	1
192	0	0	2
192	1	0	1
192	2	0	2
192	3	0	0
192	4	0	2
193	0	0	1
193	1	0	1
193	2	0	0
193	3	0	1
193	4	0	1
194	0	0	2
194	1	0	1
194	2	0	0
194	3	0	1
194	4	0	2
195	0	0	2
195	1	0	1
195	2	0	0
195	3	0	1
195	4	0	1
196	0	0	1
196	1	0	0
196	2	0	2
196	3	0	1
196	4	0	1
197	0	0	1
197	1	0	1
197	2	0	1
197	3	0	1
197	4	0	0
198	0	0	2
198	1	0	1
198	2	0	0
198	3	0	1
198	4	0	2
199	0	0	1
199	1	0	0
199	2	0	2
199	3	0	1
199	4	0	1
200	0	0	2
200	1	0	1
200	2	0	0
200	3	0	1
200	4	0	2
201	0	0	2
201	1	0	1
201	2	0	0
201	3	0	2
201	4	0	1
202	0	0	2
202	1	0	1
202	2	0	0
202	3	0	2
202	4	0	2
203	0	0	1
203	1	0	0
203	2	0	2
203	3	0	1
203	4	0	1
204	0	0	2
204	1	0	1
204	2	0	0
204	3	0	1
204	4	0	2
205	0	0	2
205	1	0	1
205	2	0	0
205	3	0	1
205	4	0	2
206	0	0	2
206	1	0	1
206	2	0	0
206	3	0	1
206	4	0	1
207	0	0	1
207	1	0	0
207	2	0	2
207	3	0	1
207	4	0	1
208	0	0	1
208	1	0	1
208	2	0	1
208	3	0	1
208	4	0	0
209	0	0	1
209	1	0	0
209	2	0	2
209	3	0	1
209	4	0	1
210	0	0	2
210	1	0	2
210	2	0	1
210	3	0	2
210	4	0	0
211	0	0	1
211	1	0	0
211	2	0	2
211	3	0	1
211	4	0	1
212	0	0	0
212	1	0	2
212	2	0	0
212	3	0	0
212	4	0	1
213	0	0	2
213	1	0	1
213	2	0	0
213	3	0	2
213	4	0	1
214	0	0	2
214	1	0	1
214	2	0	0
214	3	0	1
214	4	0	2
215	0	0	1
215	1	0	0
215	2	0	2
215	3	0	1
215	4	0	1
216	0	0	1
216	1	0	0
216	2	0	2
216	3	0	1
216	4	0	1
217	0	0	1
217	1	0	1
217	2	0	0
217	3	0	1
217	4	0	1
218	0	0	2
218	1	0	1
218	2	0	0
218	3	0	1
218	4	0	2
219	0	0	0
219	1	0	2
219	2	0	0
219	3	0	0
219	4	0	1
220	0	0	2
220	1	0	1
220	2	0	1
220	3	0	1
220	4	0	0
221	0	0	2
221	1	0	1
221	2	0	0
221	3	0	1
221	4	0	1
222	0	0	2
222	1	0	1
222	2	0	2
222	3	0	0
222	4	0	2
223	0	0	1
223	1	0	1
223	2	0	1
223	3	0	1
223	4	0	1
224	0	0	2
224	1	0	1
224	2	0	0
224	3	0	2
224	4	0	2
225	0	0	2
225	1	0	1
225	2	0	1
225	3	0	0
225	4	0	1
226	0	0	2
226	1	0	1
226	2	0	0
226	3	0	1
226	4	0	2
227	0	0	2
227	1	0	0
227	2	0	1
227	3	0	0
227	4	0	1
228	0	0	1
228	1	0	0
228	2	0	2
228	3	0	1
228	4	0	1
229	0	0	1
229	1	0	0
229	2	0	2
229	3	0	1
229	4	0	1
230	0	0	1
230	1	0	1
230	2	0	0
230	3	0	1
230	4	0	1
231	0	0	2
231	1	0	1
231	2	0	0
231	3	0	1
231	4	0	2
232	0	0	1
232	1	0	1
232	2	0	1
232	3	0	1
232	4	0	0
233	0	0	2
233	1	0	1
233	2	0	0
233	3	0	1
233	4	0	2
234	0	0	1
234	1	0	1
234	2	0	1
234	3	0	1
234	4	0	1
235	0	0	1
235	1	0	1
235	2	0	1
235	3	0	1
235	4	0	1
236	0	0	1
236	1	0	1
236	2	0	0
236	3	0	1
236	4	0	2
237	0	0	2
237	1	0	1
237	2	0	0
237	3	0	1
237	4	0	1
238	0	0	2
238	1	0	1
238	2	0	0
238	3	0	2
238	4	0	1
239	0	0	1
239	1	0	0
239	2	0	2
239	3	0	1
239	4	0	1
240	0	0	1
240	1	0	2
240	2	0	1
240	3	0	1
240	4	0	1
241	0	0	2
241	1	0	1
241	2	0	0
241	3	0	1
241	4	0	2
242	0	0	2
242	1	0	1
242	2	0	0
242	3	0	1
242	4	0	2
