trial	response_type	probability
0	0	0.018644752
0	1	0.21613522
0	2	0.21624161
0	3	0.5489783
1	0	0.0009888463
1	1	0.090011396
1	2	0.25716236
1	3	0.65183735
2	0	0.0009660329
2	1	0.026867231
2	2	0.2438528
2	3	0.72831386
3	0	0.0009660034
3	1	0.009427181
3	2	0.2083327
3	3	0.781274
4	0	0.0009660034
4	1	0.0046204226
4	2	0.17393085
4	3	0.8204826
5	0	0.0009660034
5	1	0.0032956158
5	2	0.14544423
5	3	0.85029405
6	0	0.0009660034
6	1	0.002930481
6	2	0.12291756
6	3	0.8731858
7	0	0.0009660034
7	1	0.002829845
7	2	0.10537686
7	3	0.8908272
8	0	0.0009660034
8	1	0.0028021084
8	2	0.09179197
8	3	0.9044398
9	0	0.0009660034
9	1	0.002794464
9	2	0.08129087
9	3	0.9149485
10	0	0.0009660034
10	1	0.002792357
10	2	0.07317904
10	3	0.9230625
11	0	0.00096600346
11	1	0.0027917763
11	2	0.06691437
11	3	0.9293278
12	0	0.00096600346
12	1	0.0027916161
12	2	0.062076673
12	3	0.9341656
13	0	0.0009660034
13	1	0.0027915721
13	2	0.058341015
13	3	0.9379013
14	0	0.0009660034
14	1	0.0027915598
14	2	0.05545639
14	3	0.94078594
15	0	0.0009660034
15	1	0.0027915565
15	2	0.053228922
15	3	0.9430134
16	0	0.00096600346
16	1	0.0027915556
16	2	0.05150891
16	3	0.94473344
17	0	0.0009660034
17	1	0.0027915554
17	2	0.050180744
17	3	0.9460616
18	0	0.0009660034
18	1	0.0027915554
18	2	0.049155157
18	3	0.94708717
19	0	0.0009660034
19	1	0.0027915551
19	2	0.048363216
19	3	0.9478791
20	0	0.0009660034
20	1	0.0027915551
20	2	0.04775169
20	3	0.9484906
21	0	0.0009660034
21	1	0.0027915551
21	2	0.047279485
21	3	0.9489628
22	0	0.00096600334
22	1	0.0027915551
22	2	0.046914853
22	3	0.9493274
23	0	0.0009660034
23	1	0.0027915551
23	2	0.046633292
23	3	0.949609
24	0	0.0009660034
24	1	0.0027915551
24	2	0.046415873
24	3	0.9498264
