trial	strategy	probability
0	0	0.053190395
0	1	0.28625312
0	2	0.29284462
0	3	0.36771184
1	0	6.872771e-05
1	1	0.1314617
1	2	0.43230897
1	3	0.4361606
2	0	8.88036e-08
2	1	0.036300525
2	2	0.42831492
2	3	0.5353844
3	0	1.1474381e-10
3	1	0.010004999
3	2	0.35682982
3	3	0.6331651
4	0	1.4826135e-13
4	1	0.0027575118
4	2	0.28272942
4	3	0.714513
5	0	1.9156963e-16
5	1	0.0007600072
5	2	0.22030094
5	3	0.778939
6	0	2.4752858e-19
6	1	0.00020946815
6	2	0.17065895
6	3	0.82913154
7	0	3.1983357e-22
7	1	5.7732228e-05
7	2	0.13193052
7	3	0.8680117
8	0	4.132594e-25
8	1	1.5911775e-05
8	2	0.101916015
8	3	0.898068
9	0	5.3397563e-28
9	1	4.3854984e-06
9	2	0.07870927
9	3	0.9212863
10	0	6.8995396e-31
10	1	1.2087021e-06
10	2	0.06078112
10	3	0.9392176
11	0	8.914948e-34
11	1	3.331345e-07
11	2	0.046935026
11	3	0.9530646
12	0	1.15190725e-36
12	1	9.181633e-08
12	2	0.036242675
12	3	0.9637572
13	0	1.488388e-39
13	1	2.530581e-08
13	2	0.027986048
13	3	0.9720139
14	0	1.923e-42
14	1	6.9746204e-09
14	2	0.021610372
14	3	0.97838956
15	0	3e-45
15	1	1.9222988e-09
15	2	0.01668717
15	3	0.9833128
16	0	0.0
16	1	5.298113e-10
16	2	0.012885552
16	3	0.9871144
17	0	0.0
17	1	1.460231e-10
17	2	0.009950006
17	3	0.99004996
18	0	0.0
18	1	4.024592e-11
18	2	0.0076832273
18	3	0.9923167
19	0	0.0
19	1	1.10923154e-11
19	2	0.0059328587
19	3	0.9940671
20	0	0.0
20	1	3.0571908e-12
20	2	0.0045812535
20	3	0.99541867
21	0	0.0
21	1	8.4260273e-13
21	2	0.0035375666
21	3	0.99646235
22	0	0.0
22	1	2.322326e-13
22	2	0.0027316492
22	3	0.99726826
23	0	0.0
23	1	6.400642e-14
23	2	0.0021093334
23	3	0.9978906
24	0	0.0
24	1	1.7641026e-14
24	2	0.0016287917
24	3	0.9983711
