subject_id	rank	trial	strategy
1	0	0	3
1	1	0	2
1	2	0	2
1	3	0	2
1	4	0	1
2	0	0	3
2	1	0	2
2	2	0	2
2	3	0	2
2	4	0	1
3	0	0	3
3	1	0	2
3	2	0	2
3	3	0	2
3	4	0	1
4	0	0	3
4	1	0	2
4	2	0	2
4	3	0	2
4	4	0	1
5	0	0	3
5	1	0	2
5	2	0	2
5	3	0	2
5	4	0	1
6	0	0	3
6	1	0	2
6	2	0	2
6	3	0	2
6	4	0	1
7	0	0	3
7	1	0	2
7	2	0	2
7	3	0	2
7	4	0	1
8	0	0	3
8	1	0	2
8	2	0	2
8	3	0	2
8	4	0	1
9	0	0	3
9	1	0	2
9	2	0	2
9	3	0	2
9	4	0	1
10	0	0	3
10	1	0	2
10	2	0	2
10	3	0	2
10	4	0	1
11	0	0	3
11	1	0	2
11	2	0	2
11	3	0	2
11	4	0	1
12	0	0	3
12	1	0	2
12	2	0	2
12	3	0	2
12	4	0	1
13	0	0	3
13	1	0	2
13	2	0	2
13	3	0	1
13	4	0	2
14	0	0	3
14	1	0	1
14	2	0	0
14	3	0	1
14	4	0	0
15	0	0	3
15	1	0	1
15	2	0	0
15	3	0	1
15	4	0	0
16	0	0	3
16	1	0	2
16	2	0	2
16	3	0	1
16	4	0	2
17	0	0	1
17	1	0	0
17	2	0	1
17	3	0	0
17	4	0	1
18	0	0	1
18	1	0	0
18	2	0	1
18	3	0	0
18	4	0	1
19	0	0	1
19	1	0	1
19	2	0	1
19	3	0	1
19	4	0	1
20	0	0	3
20	1	0	2
20	2	0	2
20	3	0	1
20	4	0	2
21	0	0	2
21	1	0	2
21	2	0	1
21	3	0	2
21	4	0	2
22	0	0	2
22	1	0	2
22	2	0	1
22	3	0	2
22	4	0	2
23	0	0	3
23	1	0	2
23	2	0	2
23	3	0	2
23	4	0	2
24	0	0	3
24	1	0	2
24	2	0	2
24	3	0	2
24	4	0	2
25	0	0	2
25	1	0	2
25	2	0	1
25	3	0	2
25	4	0	3
26	0	0	3
26	1	0	2
26	2	0	2
26	3	0	2
26	4	0	1
27	0	0	1
27	1	0	0
27	2	0	1
27	3	0	0
27	4	0	1
28	0	0	2
28	1	0	3
28	2	0	2
28	3	0	2
28	4	0	1
29	0	0	3
29	1	0	2
29	2	0	2
29	3	0	2
29	4	0	1
30	0	0	2
30	1	0	3
30	2	0	2
30	3	0	2
30	4	0	1
31	0	0	1
31	1	0	0
31	2	0	1
31	3	0	0
31	4	0	1
32	0	0	1
32	1	0	1
32	2	0	1
32	3	0	1
32	4	0	1
33	0	0	3
33	1	0	2
33	2	0	2
33	3	0	2
33	4	0	1
34	0	0	3
34	1	0	2
34	2	0	2
34	3	0	2
34	4	0	1
35	0	0	3
35	1	0	2
35	2	0	2
35	3	0	2
35	4	0	1
36	0	0	3
36	1	0	2
36	2	0	2
36	3	0	1
36	4	0	2
37	0	0	3
37	1	0	2
37	2	0	2
37	3	0	2
37	4	0	1
38	0	0	1
38	1	0	1
38	2	0	1
38	3	0	1
38	4	0	1
39	0	0	3
39	1	0	2
39	2	0	2
39	3	0	2
39	4	0	1
40	0	0	3
40	1	0	2
40	2	0	2
40	3	0	2
40	4	0	1
41	0	0	2
41	1	0	2
41	2	0	1
41	3	0	2
41	4	0	1
42	0	0	1
42	1	0	0
42	2	0	1
42	3	0	0
42	4	0	1
43	0	0	2
43	1	0	2
43	2	0	1
43	3	0	2
43	4	0	2
44	0	0	2
44	1	0	2
44	2	0	1
44	3	0	2
44	4	0	3
45	0	0	3
45	1	0	2
45	2	0	2
45	3	0	2
45	4	0	2
46	0	0	2
46	1	0	2
46	2	0	1
46	3	0	2
46	4	0	1
47	0	0	2
47	1	0	3
47	2	0	2
47	3	0	2
47	4	0	1
48	0	0	2
48	1	0	2
48	2	0	1
48	3	0	2
48	4	0	2
49	0	0	3
49	1	0	2
49	2	0	2
49	3	0	2
49	4	0	1
50	0	0	2
50	1	0	2
50	2	0	1
50	3	0	2
50	4	0	2
51	0	0	3
51	1	0	2
51	2	0	2
51	3	0	2
51	4	0	2
52	0	0	2
52	1	0	3
52	2	0	2
52	3	0	2
52	4	0	1
53	0	0	2
53	1	0	2
53	2	0	1
53	3	0	2
53	4	0	2
54	0	0	3
54	1	0	2
54	2	0	2
54	3	0	1
54	4	0	2
55	0	0	1
55	1	0	0
55	2	0	1
55	3	0	0
55	4	0	1
56	0	0	0
56	1	0	0
56	2	0	0
56	3	0	0
56	4	0	0
57	0	0	3
57	1	0	2
57	2	0	2
57	3	0	2
57	4	0	1
58	0	0	1
58	1	0	1
58	2	0	1
58	3	0	1
58	4	0	1
59	0	0	3
59	1	0	2
59	2	0	2
59	3	0	1
59	4	0	2
60	0	0	1
60	1	0	1
60	2	0	1
60	3	0	1
60	4	0	1
61	0	0	3
61	1	0	2
61	2	0	2
61	3	0	2
61	4	0	2
62	0	0	3
62	1	0	2
62	2	0	2
62	3	0	1
62	4	0	2
63	0	0	3
63	1	0	2
63	2	0	2
63	3	0	1
63	4	0	2
64	0	0	2
64	1	0	2
64	2	0	1
64	3	0	3
64	4	0	2
65	0	0	2
65	1	0	2
65	2	0	1
65	3	0	2
65	4	0	2
66	0	0	3
66	1	0	2
66	2	0	2
66	3	0	2
66	4	0	2
67	0	0	2
67	1	0	2
67	2	0	1
67	3	0	2
67	4	0	3
68	0	0	2
68	1	0	3
68	2	0	2
68	3	0	2
68	4	0	1
69	0	0	1
69	1	0	0
69	2	0	1
69	3	0	0
69	4	0	1
70	0	0	1
70	1	0	1
70	2	0	1
70	3	0	1
70	4	0	1
71	0	0	2
71	1	0	2
71	2	0	3
71	3	0	2
71	4	0	1
72	0	0	1
72	1	0	1
72	2	0	1
72	3	0	1
72	4	0	1
73	0	0	1
73	1	0	1
73	2	0	1
73	3	0	1
73	4	0	1
74	0	0	3
74	1	0	2
74	2	0	2
74	3	0	2
74	4	0	1
75	0	0	3
75	1	0	2
75	2	0	2
75	3	0	2
75	4	0	1
76	0	0	1
76	1	0	1
76	2	0	1
76	3	0	1
76	4	0	1
77	0	0	1
77	1	0	1
77	2	0	1
77	3	0	1
77	4	0	1
78	0	0	1
78	1	0	0
78	2	0	1
78	3	0	1
78	4	0	0
79	0	0	1
79	1	0	0
79	2	0	1
79	3	0	2
79	4	0	0
80	0	0	2
80	1	0	2
80	2	0	2
80	3	0	2
80	4	0	1
81	0	0	1
81	1	0	1
81	2	0	0
81	3	0	1
81	4	0	0
82	0	0	3
82	1	0	2
82	2	0	2
82	3	0	1
82	4	0	2
83	0	0	2
83	1	0	2
83	2	0	2
83	3	0	1
83	4	0	2
84	0	0	2
84	1	0	2
84	2	0	2
84	3	0	1
84	4	0	2
85	0	0	1
85	1	0	1
85	2	0	1
85	3	0	1
85	4	0	1
86	0	0	2
86	1	0	2
86	2	0	1
86	3	0	2
86	4	0	1
87	0	0	2
87	1	0	2
87	2	0	2
87	3	0	2
87	4	0	2
88	0	0	2
88	1	0	2
88	2	0	1
88	3	0	2
88	4	0	3
1	0	1	3
1	1	1	3
1	2	1	2
1	3	1	2
1	4	1	2
2	0	1	3
2	1	1	3
2	2	1	2
2	3	1	2
2	4	1	2
3	0	1	3
3	1	1	3
3	2	1	2
3	3	1	2
3	4	1	2
4	0	1	3
4	1	1	3
4	2	1	2
4	3	1	2
4	4	1	2
5	0	1	3
5	1	1	3
5	2	1	2
5	3	1	2
5	4	1	2
6	0	1	3
6	1	1	3
6	2	1	2
6	3	1	2
6	4	1	2
7	0	1	3
7	1	1	3
7	2	1	2
7	3	1	2
7	4	1	2
8	0	1	3
8	1	1	3
8	2	1	2
8	3	1	2
8	4	1	2
9	0	1	3
9	1	1	3
9	2	1	2
9	3	1	2
9	4	1	2
10	0	1	3
10	1	1	3
10	2	1	2
10	3	1	2
10	4	1	2
11	0	1	3
11	1	1	3
11	2	1	2
11	3	1	2
11	4	1	2
12	0	1	3
12	1	1	3
12	2	1	2
12	3	1	2
12	4	1	2
13	0	1	3
13	1	1	2
13	2	1	2
13	3	1	2
13	4	1	2
14	0	1	3
14	1	1	1
14	2	1	1
14	3	1	1
14	4	1	1
15	0	1	3
15	1	1	1
15	2	1	1
15	3	1	1
15	4	1	1
16	0	1	3
16	1	1	2
16	2	1	2
16	3	1	2
16	4	1	2
17	0	1	1
17	1	1	1
17	2	1	1
17	3	1	1
17	4	1	1
18	0	1	1
18	1	1	1
18	2	1	1
18	3	1	1
18	4	1	1
19	0	1	2
19	1	1	2
19	2	1	2
19	3	1	2
19	4	1	1
20	0	1	3
20	1	1	2
20	2	1	2
20	3	1	2
20	4	1	3
21	0	1	2
21	1	1	2
21	2	1	2
21	3	1	3
21	4	1	2
22	0	1	2
22	1	1	2
22	2	1	2
22	3	1	3
22	4	1	2
23	0	1	3
23	1	1	3
23	2	1	2
23	3	1	2
23	4	1	2
24	0	1	3
24	1	1	3
24	2	1	2
24	3	1	2
24	4	1	2
25	0	1	2
25	1	1	2
25	2	1	2
25	3	1	2
25	4	1	3
26	0	1	3
26	1	1	3
26	2	1	2
26	3	1	2
26	4	1	2
27	0	1	1
27	1	1	1
27	2	1	1
27	3	1	1
27	4	1	1
28	0	1	3
28	1	1	3
28	2	1	2
28	3	1	2
28	4	1	2
29	0	1	3
29	1	1	3
29	2	1	2
