subject_id	rank	probability
1	0	0.84625375
2	0	0.84625375
3	0	0.84625375
4	0	0.84625375
5	0	0.84625375
6	0	0.84625375
7	0	0.84625375
8	0	0.84625375
9	0	0.84625375
10	0	0.84625375
11	0	0.84625375
12	0	0.84625375
13	0	0.34706548
14	0	0.30350545
15	0	0.30350545
16	0	0.34706548
17	0	0.32841352
18	0	0.37036932
19	0	0.5481046
20	0	0.5302186
21	0	0.3468199
22	0	0.3468199
23	0	0.814005
24	0	0.814005
25	0	0.38438
26	0	0.84621257
27	0	0.38754198
28	0	0.40048963
29	0	0.84622973
30	0	0.41160387
31	0	0.34015775
32	0	0.4074623
33	0	0.846244
34	0	0.8462498
35	0	0.8462531
36	0	0.30529597
37	0	0.84625363
38	0	0.4604287
39	0	0.34962365
40	0	0.6527273
41	0	0.41495052
42	0	0.33462724
43	0	0.34681946
44	0	0.38359237
45	0	0.7707913
46	0	0.40641722
47	0	0.41328225
48	0	0.34671474
49	0	0.8462512
50	0	0.34455112
51	0	0.8157165
52	0	0.41384244
53	0	0.3197369
54	0	0.33946025
55	0	0.37031046
56	0	0.23520754
57	0	0.6780565
58	0	0.45867327
59	0	0.52973264
60	0	0.5480103
61	0	0.76853245
62	0	0.5300205
63	0	0.34706503
64	0	0.33994964
65	0	0.34681186
66	0	0.8257242
67	0	0.30825758
68	0	0.41385108
69	0	0.327051
70	0	0.3500939
71	0	0.20619468
72	0	0.38020295
73	0	0.45750785
74	0	0.44725695
75	0	0.64886487
76	0	0.38152164
77	0	0.50657266
78	0	0.2626375
79	0	0.24087551
80	0	0.21526393
81	0	0.1982962
82	0	0.34386975
83	0	0.22074716
84	0	0.24896012
85	0	0.39554363
86	0	0.4030021
87	0	0.16267057
88	0	0.34293547
1	1	0.08045816
2	1	0.08045816
3	1	0.08045816
4	1	0.08045816
5	1	0.08045816
6	1	0.08045816
7	1	0.08045816
8	1	0.08045816
9	1	0.08045816
10	1	0.08045816
11	1	0.08045816
12	1	0.08045816
13	1	0.27785617
14	1	0.23352806
15	1	0.23352806
16	1	0.27785617
17	1	0.14601855
18	1	0.16467279
19	1	0.22178775
20	1	0.17176634
21	1	0.14033897
22	1	0.14033897
23	1	0.07739211
24	1	0.07739211
25	1	0.15553743
26	1	0.08045422
27	1	0.17230813
28	1	0.20242152
29	1	0.08045586
30	1	0.2080391
31	1	0.15124024
32	1	0.16487755
33	1	0.080457225
34	1	0.080457784
35	1	0.08045809
36	1	0.2444161
37	1	0.08045815
38	1	0.18631019
39	1	0.1561606
40	1	0.085563615
41	1	0.1679077
42	1	0.14878128
43	1	0.14033878
44	1	0.15521875
45	1	0.073283516
46	1	0.1644547
47	1	0.20888743
48	1	0.14029641
49	1	0.08045792
50	1	0.13942093
51	1	0.07755482
52	1	0.20917054
53	1	0.12937994
54	1	0.27176753
55	1	0.16464669
56	1	0.22092412
57	1	0.08888392
58	1	0.18559986
59	1	0.17160884
60	1	0.22174962
61	1	0.07306872
62	1	0.17170209
63	1	0.27785578
