puzzle_id	question	answer	response	r_parsed	correct
344	"Q: Consider a Sudoku grid with the following numbers:
(row 6, column 7) contains 9
(row 7, column 4) contains 6
(row 2, column 1) contains 7
(row 8, column 2) contains 6
(row 9, column 2) contains 9
(row 3, column 4) contains 9
(row 4, column 1) contains 5
(row 3, column 9) contains 6
(row 5, column 1) contains 8
What number must (row 1, column 1) contain?
Hint: use the hidden single technique along column 1.
A: (row 1, column 1) must contain"	9	 4.	4	False
4184	"Q: Consider a Sudoku grid with the following numbers:
(row 3, column 6) contains 8
(row 8, column 7) contains 4
(row 7, column 6) contains 6
(row 1, column 7) contains 7
(row 6, column 2) contains 4
(row 8, column 1) contains 7
(row 5, column 4) contains 4
(row 5, column 5) contains 7
(row 9, column 6) contains 9
What number must (row 2, column 6) contain?
Hint: use the hidden single technique along column 6.
A: (row 2, column 6) must contain"	7	 1.	1	False
12689	"Q: Consider a Sudoku grid with the following numbers:
(row 2, column 3) contains 9
(row 3, column 6) contains 1
(row 6, column 1) contains 1
(row 9, column 8) contains 5
(row 9, column 9) contains 8
(row 8, column 5) contains 1
(row 9, column 2) contains 6
(row 7, column 6) contains 9
(row 4, column 1) contains 9
What number must (row 9, column 7) contain?
Hint: use the hidden single technique along row 9.
A: (row 9, column 7) must contain"	9	 4.	4	False
17054	"Q: Consider a Sudoku grid with the following numbers:
(row 8, column 2) contains 2
(row 9, column 7) contains 4
(row 4, column 9) contains 5
(row 8, column 6) contains 5
(row 3, column 1) contains 5
(row 2, column 7) contains 1
(row 1, column 7) contains 9
(row 5, column 9) contains 2
(row 2, column 4) contains 2
What number must (row 7, column 7) contain?
Hint: use the hidden single technique along column 7.
A: (row 7, column 7) must contain"	5	 6.	6	False
17339	"Q: Consider a Sudoku grid with the following numbers:
(row 8, column 7) contains 2
(row 2, column 4) contains 3
(row 8, column 8) contains 3
(row 1, column 9) contains 3
(row 6, column 4) contains 2
(row 7, column 2) contains 9
(row 7, column 6) contains 5
(row 5, column 3) contains 2
(row 7, column 5) contains 7
What number must (row 7, column 1) contain?
Hint: use the hidden single technique along row 7.
A: (row 7, column 1) must contain"	2	 6.	6	False
20684	"Q: Consider a Sudoku grid with the following numbers:
(row 3, column 1) contains 5
(row 6, column 1) contains 8
(row 4, column 5) contains 8
(row 9, column 8) contains 5
(row 4, column 3) contains 5
(row 7, column 8) contains 8
(row 5, column 9) contains 1
(row 1, column 9) contains 4
(row 6, column 9) contains 2
What number must (row 2, column 9) contain?
Hint: use the hidden single technique along column 9.
A: (row 2, column 9) must contain"	5	 6.	6	False
23429	"Q: Consider a Sudoku grid with the following numbers:
(row 4, column 4) contains 6
(row 4, column 3) contains 7
(row 5, column 8) contains 9
(row 7, column 1) contains 9
(row 4, column 6) contains 8
(row 2, column 1) contains 5
(row 6, column 7) contains 5
(row 3, column 4) contains 9
(row 8, column 5) contains 5
What number must (row 4, column 2) contain?
Hint: use the hidden single technique along row 4.
A: (row 4, column 2) must contain"	5	 1.	1	False
26729	"Q: Consider a Sudoku grid with the following numbers:
(row 1, column 6) contains 1
(row 5, column 7) contains 1
(row 6, column 5) contains 5
(row 3, column 2) contains 8
(row 6, column 2) contains 7
(row 8, column 1) contains 1
(row 4, column 2) contains 4
(row 9, column 1) contains 5
(row 1, column 8) contains 5
What number must (row 2, column 2) contain?
Hint: use the hidden single technique along column 2.
A: (row 2, column 2) must contain"	1	 6.	6	False
43874	"Q: Consider a Sudoku grid with the following numbers:
(row 5, column 4) contains 3
(row 7, column 1) contains 3
(row 6, column 9) contains 2
(row 6, column 7) contains 5
(row 2, column 8) contains 7
(row 5, column 6) contains 7
(row 9, column 5) contains 7
(row 3, column 8) contains 3
(row 6, column 2) contains 9
What number must (row 6, column 3) contain?
Hint: use the hidden single technique along row 6.
A: (row 6, column 3) must contain"	3	 4.	4	False
48464	"Q: Consider a Sudoku grid with the following numbers:
(row 9, column 7) contains 6
(row 6, column 8) contains 1
(row 7, column 9) contains 9
(row 4, column 8) contains 7
(row 5, column 5) contains 9
(row 1, column 2) contains 9
(row 1, column 5) contains 6
(row 3, column 8) contains 8
(row 8, column 6) contains 6
What number must (row 2, column 8) contain?
Hint: use the hidden single technique along column 8.
A: (row 2, column 8) must contain"	9	 4.	4	False
