subject_id	qid	solver	rater	correct_eval	correct_actual	pd	aware_error	valid_basis	basis	sub_basis	notes	response
1	83	TRUE	rater1	TRUE	TRUE	Target	NA	FALSE	Unclear	U2	NA	I narrowed down the amount of spaces that could hold a number 5 by following along the rows.
1	83	TRUE	rater2	TRUE	TRUE	Target	NA	FALSE	Unclear	U1	NA	I narrowed down the amount of spaces that could hold a number 5 by following along the rows.
2	167	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	I first found the 3x3 box with the numbers 9 and 8 and eliminated those blue boxes because neither of those numbers could be used again there. Then, I found the column between the numbers 7 and 4 and eliminated the blue box because the column contained 9 and 8. Finally, from the two columns left, I concluded that the blue box that shared the column with an 8 must be 9. So then, the remaining box must be 8.
2	167	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V3	NA	I first found the 3x3 box with the numbers 9 and 8 and eliminated those blue boxes because neither of those numbers could be used again there. Then, I found the column between the numbers 7 and 4 and eliminated the blue box because the column contained 9 and 8. Finally, from the two columns left, I concluded that the blue box that shared the column with an 8 must be 9. So then, the remaining box must be 8.
3	139	TRUE	rater1	TRUE	TRUE	Target	NA	FALSE	Unclear	U1	Does not explain why the target can only go in the goal cell; only says ""due to contradictions""	I used a process of elimination. I eliminated the possible squares for 8. I realized 8 can only be in one square due to contradictions. Thus, I determined the correct answer was 8.
3	139	TRUE	rater2	TRUE	TRUE	Target	NA	TRUE	Valid	V1	NA	I used a process of elimination. I eliminated the possible squares for 8. I realized 8 can only be in one square due to contradictions. Thus, I determined the correct answer was 8.
4	164	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I saw that there was a 4 and 8 in the bottom middle grid. This let me know that those were two numbers i was interested in, since they eliminated themselves from contention for the column in question. I then looked at the non eliminated boxes in the column and checked to see if they were also eliminated by an 8 or 4 in their row. You can see that the top bow in our row is eliminated by the 8 to its left, meaning that box could still be a 4. The second empty box is eliminated by both 8 on the left and 4 on the right, it cant be either of those numbers. Since the last 3 boxes in our column are eliminated by the 4 and 8 in that grid, it leaves only one space available left for the 8 to go in our column.
4	164	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I saw that there was a 4 and 8 in the bottom middle grid. This let me know that those were two numbers i was interested in, since they eliminated themselves from contention for the column in question. I then looked at the non eliminated boxes in the column and checked to see if they were also eliminated by an 8 or 4 in their row. You can see that the top bow in our row is eliminated by the 8 to its left, meaning that box could still be a 4. The second empty box is eliminated by both 8 on the left and 4 on the right, it cant be either of those numbers. Since the last 3 boxes in our column are eliminated by the 4 and 8 in that grid, it leaves only one space available left for the 8 to go in our column.
5	59	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Explicitly states having used both	I checked each open blue square to see if there was an 8 in the row, column or 9 square, I concluded there was not. I checked the 6 and there was another blue square option where the 6 could go. So, I concluded the 8 belonged in the green square.
5	59	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	I checked each open blue square to see if there was an 8 in the row, column or 9 square, I concluded there was not. I checked the 6 and there was another blue square option where the 6 could go. So, I concluded the 8 belonged in the green square.
6	34	TRUE	rater1	TRUE	TRUE	Both	NA	FALSE	Unclear	U1	Doesn't explain how the information in the 'final 3x3 square' leads to the correct answer. Otherwise, very close to process of elimination.	1) I eliminated the 3 spaces in the 3x3 box that already contain 1 and 2.<>2) I moved to the center box to confirm that neither number could be in the space to the left of the green box.<>3) I moved to the final 3x3 square to see which of the 2 could be placed there, leaving me with the answer for the green space.
6	34	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	1) I eliminated the 3 spaces in the 3x3 box that already contain 1 and 2.<>2) I moved to the center box to confirm that neither number could be in the space to the left of the green box.<>3) I moved to the final 3x3 square to see which of the 2 could be placed there, leaving me with the answer for the green space.
7	67	TRUE	rater1	TRUE	TRUE	Target	NA	TRUE	Valid	V1	NA	1.  In the center block,  the 5 on the top rules out the blue cell on the right.<>2. The 5 at the bottom rules out the blue cell in the middle.<>3. In the left block, the 5 rules out all three blue cells.<>4.The 5 can only be located in the green cell.<>
7	67	TRUE	rater2	TRUE	TRUE	Target	NA	TRUE	Valid	V1	NA	1.  In the center block,  the 5 on the top rules out the blue cell on the right.<>2. The 5 at the bottom rules out the blue cell in the middle.<>3. In the left block, the 5 rules out all three blue cells.<>4.The 5 can only be located in the green cell.<>
8	98	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I first identified the 3x3 square that contained two numbers outside of the blue-shaded row. I noted that these numbers were 2 and 3, and then I looked for their locations in rows that:<><>1) didn't cross that same 3x3 square<>2) didn't contain numbers in their blue-shaded square.<>3) Didn't include the green/yellow target square<><>There were two rows matching this description. Of these two rows, I identified the one that contained only one number. This number was  2. I therefore entered 2 in the target square.<>
8	98	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V3	NA	I first identified the 3x3 square that contained two numbers outside of the blue-shaded row. I noted that these numbers were 2 and 3, and then I looked for their locations in rows that:<><>1) didn't cross that same 3x3 square<>2) didn't contain numbers in their blue-shaded square.<>3) Didn't include the green/yellow target square<><>There were two rows matching this description. Of these two rows, I identified the one that contained only one number. This number was  2. I therefore entered 2 in the target square.<>
9	3	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I located the larger square with two numbers in it (6 and 1) that also contained  three small blue squares. This told me the green square would have a 6 or 1. I then checked to see if 6 could fit in one of the two remaining blue squares. Since there was already a 6 in each row I knew 6 had to be the solution for the green square.
9	3	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I located the larger square with two numbers in it (6 and 1) that also contained  three small blue squares. This told me the green square would have a 6 or 1. I then checked to see if 6 could fit in one of the two remaining blue squares. Since there was already a 6 in each row I knew 6 had to be the solution for the green square.
10	118	TRUE	rater1	TRUE	TRUE	Neither	NA	FALSE	Unclear	U2	NA	used a scratch sheet of paper, looked at row one at a time to not confuse myself with the other rows.
10	118	TRUE	rater2	TRUE	TRUE	Neither	NA	FALSE	Unclear	U1	NA	used a scratch sheet of paper, looked at row one at a time to not confuse myself with the other rows.
11	88	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	1. I saw that the number would be 3 or six.<>2. I determined the block of nine with both the 3 and the 6 so I could ignore that block. <>3. Then I looked for where the 3 and the 6 where together on a line to eliminate it. <>4. FInally I found the line with the 6 and knew that the other 6 had to be in the last remaining block.
11	88	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	1. I saw that the number would be 3 or six.<>2. I determined the block of nine with both the 3 and the 6 so I could ignore that block. <>3. Then I looked for where the 3 and the 6 where together on a line to eliminate it. <>4. FInally I found the line with the 6 and knew that the other 6 had to be in the last remaining block.
12	27	TRUE	rater1	TRUE	TRUE	Target	NA	TRUE	Valid	V1	Shortcut variant of A	I looked at each row to find a number that was the only one on the row. Then I look to see if it is the only one in the box. If it is I look at what the opposite number would go in the column, then I go to the spot I'm trying to fill and choose the other opposite number of the one that would go in that row.
12	27	TRUE	rater2	TRUE	TRUE	Uncertain	NA	FALSE	Unclear	U2	NA	I looked at each row to find a number that was the only one on the row. Then I look to see if it is the only one in the box. If it is I look at what the opposite number would go in the column, then I go to the spot I'm trying to fill and choose the other opposite number of the one that would go in that row.
