subject_id	sid_hash	phase	trial	house_type
1	0e8a79	practice	1	column
1	0e8a79	practice	2	column
1	0e8a79	practice	3	column
1	0e8a79	practice	4	column
1	0e8a79	practice	5	column
1	0e8a79	practice	6	column
1	0e8a79	practice	7	column
1	0e8a79	practice	8	column
1	0e8a79	practice	9	column
1	0e8a79	practice	10	column
1	0e8a79	practice	11	column
1	0e8a79	practice	12	column
1	0e8a79	practice	13	column
1	0e8a79	practice	14	column
1	0e8a79	practice	15	column
1	0e8a79	practice	16	column
1	0e8a79	practice	17	column
1	0e8a79	practice	18	column
1	0e8a79	practice	19	column
1	0e8a79	practice	20	column
1	0e8a79	practice	21	column
1	0e8a79	practice	22	column
1	0e8a79	practice	23	column
1	0e8a79	practice	24	column
1	0e8a79	practice	25	column
1	0e8a79	questionnaire	1	column
1	0e8a79	test	1	row
1	0e8a79	test	2	row
1	0e8a79	test	3	column
1	0e8a79	test	4	row
1	0e8a79	test	5	row
1	0e8a79	test	6	column
1	0e8a79	test	7	column
1	0e8a79	test	8	column
1	0e8a79	test	9	row
1	0e8a79	test	10	column
1	0e8a79	test	11	row
1	0e8a79	test	12	row
1	0e8a79	test	13	column
1	0e8a79	test	14	column
1	0e8a79	test	15	column
1	0e8a79	test	16	row
1	0e8a79	test	17	column
1	0e8a79	test	18	row
1	0e8a79	test	19	row
1	0e8a79	test	20	column
1	0e8a79	test	21	row
1	0e8a79	test	22	row
1	0e8a79	test	23	column
1	0e8a79	test	24	column
1	0e8a79	test	25	column
1	0e8a79	test	26	row
1	0e8a79	test	27	row
1	0e8a79	test	28	column
1	0e8a79	test	29	column
1	0e8a79	test	30	column
1	0e8a79	test	31	row
1	0e8a79	test	32	row
1	0e8a79	test	33	column
1	0e8a79	test	34	column
1	0e8a79	test	35	row
1	0e8a79	test	36	row
1	0e8a79	test	37	column
1	0e8a79	test	38	row
1	0e8a79	test	39	row
1	0e8a79	test	40	column
1	0e8a79	test	41	row
1	0e8a79	test	42	row
1	0e8a79	test	43	column
1	0e8a79	test	44	column
1	0e8a79	test	45	column
1	0e8a79	test	46	row
1	0e8a79	test	47	row
1	0e8a79	test	48	column
1	0e8a79	test	49	column
1	0e8a79	test	50	column
1	0e8a79	test	51	column
1	0e8a79	test	52	row
1	0e8a79	test	53	row
1	0e8a79	test	54	column
1	0e8a79	test	55	row
1	0e8a79	test	56	row
1	0e8a79	test	57	row
1	0e8a79	test	58	column
1	0e8a79	test	59	column
1	0e8a79	test	60	column
1	0e8a79	test	61	row
1	0e8a79	test	62	row
1	0e8a79	test	63	column
1	0e8a79	test	64	row
2	63ea3a	practice	1	row
2	63ea3a	practice	2	row
2	63ea3a	practice	3	row
2	63ea3a	practice	4	row
2	63ea3a	practice	5	row
2	63ea3a	practice	6	row
2	63ea3a	practice	7	row
2	63ea3a	practice	8	row
2	63ea3a	practice	9	row
2	63ea3a	practice	10	row
2	63ea3a	practice	11	row
2	63ea3a	practice	12	row
2	63ea3a	practice	13	row
2	63ea3a	practice	14	row
2	63ea3a	practice	15	row
2	63ea3a	practice	16	row
2	63ea3a	practice	17	row
2	63ea3a	practice	18	row
2	63ea3a	practice	19	row
2	63ea3a	practice	20	row
2	63ea3a	practice	21	row
2	63ea3a	practice	22	row
2	63ea3a	practice	23	row
2	63ea3a	practice	24	row
2	63ea3a	practice	25	row
2	63ea3a	questionnaire	1	row
2	63ea3a	test	1	row
2	63ea3a	test	2	column
2	63ea3a	test	3	column
2	63ea3a	test	4	row
2	63ea3a	test	5	row
2	63ea3a	test	6	column
2	63ea3a	test	7	row
2	63ea3a	test	8	column
2	63ea3a	test	9	column
2	63ea3a	test	10	column
2	63ea3a	test	11	row
2	63ea3a	test	12	row
2	63ea3a	test	13	column
2	63ea3a	test	14	row
2	63ea3a	test	15	column
2	63ea3a	test	16	row
2	63ea3a	test	17	column
2	63ea3a	test	18	row
2	63ea3a	test	19	column
2	63ea3a	test	20	column
2	63ea3a	test	21	row
2	63ea3a	test	22	row
2	63ea3a	test	23	column
2	63ea3a	test	24	row
2	63ea3a	test	25	column
2	63ea3a	test	26	row
2	63ea3a	test	27	row
2	63ea3a	test	28	column
2	63ea3a	test	29	row
2	63ea3a	test	30	column
2	63ea3a	test	31	row
2	63ea3a	test	32	column
2	63ea3a	test	33	row
2	63ea3a	test	34	column
2	63ea3a	test	35	row
2	63ea3a	test	36	column
2	63ea3a	test	37	column
2	63ea3a	test	38	row
2	63ea3a	test	39	row
2	63ea3a	test	40	column
2	63ea3a	test	41	row
2	63ea3a	test	42	row
2	63ea3a	test	43	column
2	63ea3a	test	44	row
2	63ea3a	test	45	column
2	63ea3a	test	46	row
2	63ea3a	test	47	column
2	63ea3a	test	48	column
2	63ea3a	test	49	column
2	63ea3a	test	50	row
2	63ea3a	test	51	column
2	63ea3a	test	52	row
2	63ea3a	test	53	column
2	63ea3a	test	54	column
2	63ea3a	test	55	row
2	63ea3a	test	56	row
2	63ea3a	test	57	row
2	63ea3a	test	58	column
2	63ea3a	test	59	row
2	63ea3a	test	60	column
2	63ea3a	test	61	row
2	63ea3a	test	62	column
2	63ea3a	test	63	column
2	63ea3a	test	64	row
3	9e8c77	practice	1	row
3	9e8c77	practice	2	row
3	9e8c77	practice	3	row
3	9e8c77	practice	4	row
3	9e8c77	practice	5	row
3	9e8c77	practice	6	row
3	9e8c77	practice	7	row
3	9e8c77	practice	8	row
3	9e8c77	practice	9	row
3	9e8c77	practice	10	row
3	9e8c77	practice	11	row
3	9e8c77	practice	12	row
3	9e8c77	practice	13	row
3	9e8c77	practice	14	row
3	9e8c77	practice	15	row
3	9e8c77	practice	16	row
3	9e8c77	practice	17	row
3	9e8c77	practice	18	row
3	9e8c77	practice	19	row
3	9e8c77	practice	20	row
3	9e8c77	practice	21	row
3	9e8c77	practice	22	row
3	9e8c77	practice	23	row
3	9e8c77	practice	24	row
3	9e8c77	practice	25	row
3	9e8c77	questionnaire	1	row
3	9e8c77	test	1	row
3	9e8c77	test	2	column
3	9e8c77	test	3	column
3	9e8c77	test	4	row
3	9e8c77	test	5	column
3	9e8c77	test	6	row
3	9e8c77	test	7	row
3	9e8c77	test	8	column
3	9e8c77	test	9	column
3	9e8c77	test	10	column
3	9e8c77	test	11	row
3	9e8c77	test	12	column
3	9e8c77	test	13	row
3	9e8c77	test	14	row
3	9e8c77	test	15	column
3	9e8c77	test	16	row
3	9e8c77	test	17	column
3	9e8c77	test	18	row
3	9e8c77	test	19	column
3	9e8c77	test	20	column
3	9e8c77	test	21	row
3	9e8c77	test	22	column
3	9e8c77	test	23	row
3	9e8c77	test	24	row
3	9e8c77	test	25	column
3	9e8c77	test	26	row
3	9e8c77	test	27	column
3	9e8c77	test	28	row
3	9e8c77	test	29	row
3	9e8c77	test	30	column
3	9e8c77	test	31	row
3	9e8c77	test	32	column
3	9e8c77	test	33	row
3	9e8c77	test	34	column
3	9e8c77	test	35	row
3	9e8c77	test	36	column
3	9e8c77	test	37	column
3	9e8c77	test	38	row
3	9e8c77	test	39	column
3	9e8c77	test	40	row
3	9e8c77	test	41	row
3	9e8c77	test	42	column
3	9e8c77	test	43	row
3	9e8c77	test	44	row
3	9e8c77	test	45	column
