subject_id	sid_hash	phase	trial	house_type
12	3658b7	questionnaire	1	row
12	3658b7	practice	1	row
12	3658b7	practice	2	row
12	3658b7	practice	3	row
12	3658b7	practice	4	row
12	3658b7	practice	5	row
12	3658b7	practice	6	row
12	3658b7	practice	7	row
12	3658b7	practice	8	row
12	3658b7	practice	9	row
12	3658b7	practice	10	row
12	3658b7	practice	11	row
12	3658b7	practice	12	row
12	3658b7	practice	13	row
12	3658b7	practice	14	row
12	3658b7	practice	15	row
12	3658b7	practice	16	row
12	3658b7	practice	17	row
12	3658b7	practice	18	row
12	3658b7	practice	19	row
12	3658b7	practice	20	row
12	3658b7	practice	21	row
12	3658b7	practice	22	row
12	3658b7	practice	23	row
12	3658b7	practice	24	row
12	3658b7	practice	25	row
12	3658b7	test	1	row
12	3658b7	test	2	row
12	3658b7	test	3	column
12	3658b7	test	4	column
12	3658b7	test	5	row
12	3658b7	test	6	column
12	3658b7	test	7	row
12	3658b7	test	8	column
12	3658b7	test	9	row
12	3658b7	test	10	column
12	3658b7	test	11	column
12	3658b7	test	12	row
12	3658b7	test	13	column
12	3658b7	test	14	row
12	3658b7	test	15	column
12	3658b7	test	16	row
12	3658b7	test	17	column
12	3658b7	test	18	row
12	3658b7	test	19	row
12	3658b7	test	20	column
12	3658b7	test	21	column
12	3658b7	test	22	row
12	3658b7	test	23	column
12	3658b7	test	24	row
12	3658b7	test	25	column
12	3658b7	test	26	column
12	3658b7	test	27	row
12	3658b7	test	28	column
12	3658b7	test	29	row
12	3658b7	test	30	column
12	3658b7	test	31	row
12	3658b7	test	32	row
12	3658b7	test	33	row
12	3658b7	test	34	column
12	3658b7	test	35	row
12	3658b7	test	36	row
12	3658b7	test	37	column
12	3658b7	test	38	column
12	3658b7	test	39	row
12	3658b7	test	40	column
12	3658b7	test	41	column
12	3658b7	test	42	row
12	3658b7	test	43	column
12	3658b7	test	44	row
12	3658b7	test	45	column
12	3658b7	test	46	row
12	3658b7	test	47	row
12	3658b7	test	48	column
12	3658b7	test	49	column
12	3658b7	test	50	row
12	3658b7	test	51	column
12	3658b7	test	52	row
12	3658b7	test	53	row
12	3658b7	test	54	column
12	3658b7	test	55	column
12	3658b7	test	56	row
12	3658b7	test	57	row
12	3658b7	test	58	column
12	3658b7	test	59	row
12	3658b7	test	60	column
12	3658b7	test	61	row
12	3658b7	test	62	row
12	3658b7	test	63	column
12	3658b7	test	64	column
13	f20db5	questionnaire	1	column
13	f20db5	practice	1	column
13	f20db5	practice	2	column
13	f20db5	practice	3	column
13	f20db5	practice	4	column
13	f20db5	practice	5	column
13	f20db5	practice	6	column
13	f20db5	practice	7	column
13	f20db5	practice	8	column
13	f20db5	practice	9	column
13	f20db5	practice	10	column
13	f20db5	practice	11	column
13	f20db5	practice	12	column
13	f20db5	practice	13	column
13	f20db5	practice	14	column
13	f20db5	practice	15	column
13	f20db5	practice	16	column
13	f20db5	practice	17	column
13	f20db5	practice	18	column
13	f20db5	practice	19	column
13	f20db5	practice	20	column
13	f20db5	practice	21	column
13	f20db5	practice	22	column
13	f20db5	practice	23	column
13	f20db5	practice	24	column
13	f20db5	practice	25	column
13	f20db5	test	1	row
13	f20db5	test	2	column
13	f20db5	test	3	row
13	f20db5	test	4	column
13	f20db5	test	5	column
13	f20db5	test	6	row
13	f20db5	test	7	column
13	f20db5	test	8	row
13	f20db5	test	9	column
13	f20db5	test	10	row
13	f20db5	test	11	column
13	f20db5	test	12	column
13	f20db5	test	13	row
13	f20db5	test	14	column
13	f20db5	test	15	row
13	f20db5	test	16	row
13	f20db5	test	17	row
13	f20db5	test	18	row
13	f20db5	test	19	column
13	f20db5	test	20	row
13	f20db5	test	21	column
13	f20db5	test	22	column
13	f20db5	test	23	row
13	f20db5	test	24	column
13	f20db5	test	25	row
13	f20db5	test	26	column
13	f20db5	test	27	column
13	f20db5	test	28	row
13	f20db5	test	29	column
13	f20db5	test	30	row
13	f20db5	test	31	row
13	f20db5	test	32	column
13	f20db5	test	33	column
13	f20db5	test	34	row
13	f20db5	test	35	row
13	f20db5	test	36	column
13	f20db5	test	37	row
13	f20db5	test	38	column
13	f20db5	test	39	column
13	f20db5	test	40	row
13	f20db5	test	41	column
13	f20db5	test	42	column
13	f20db5	test	43	row
13	f20db5	test	44	column
13	f20db5	test	45	row
13	f20db5	test	46	row
13	f20db5	test	47	column
13	f20db5	test	48	row
13	f20db5	test	49	row
13	f20db5	test	50	column
13	f20db5	test	51	row
13	f20db5	test	52	row
13	f20db5	test	53	column
13	f20db5	test	54	row
13	f20db5	test	55	column
13	f20db5	test	56	column
13	f20db5	test	57	column
13	f20db5	test	58	row
13	f20db5	test	59	column
13	f20db5	test	60	row
13	f20db5	test	61	row
13	f20db5	test	62	column
13	f20db5	test	63	row
13	f20db5	test	64	column
14	4b8e45	questionnaire	1	row
14	4b8e45	practice	1	row
14	4b8e45	practice	2	row
14	4b8e45	practice	3	row
14	4b8e45	practice	4	row
14	4b8e45	practice	5	row
14	4b8e45	practice	6	row
14	4b8e45	practice	7	row
14	4b8e45	practice	8	row
14	4b8e45	practice	9	row
14	4b8e45	practice	10	row
14	4b8e45	practice	11	row
14	4b8e45	practice	12	row
14	4b8e45	practice	13	row
14	4b8e45	practice	14	row
14	4b8e45	practice	15	row
14	4b8e45	practice	16	row
14	4b8e45	practice	17	row
14	4b8e45	practice	18	row
14	4b8e45	practice	19	row
14	4b8e45	practice	20	row
14	4b8e45	practice	21	row
14	4b8e45	practice	22	row
14	4b8e45	practice	23	row
14	4b8e45	practice	24	row
14	4b8e45	practice	25	row
14	4b8e45	test	1	column
14	4b8e45	test	2	row
14	4b8e45	test	3	column
14	4b8e45	test	4	row
14	4b8e45	test	5	row
14	4b8e45	test	6	column
14	4b8e45	test	7	column
14	4b8e45	test	8	row
14	4b8e45	test	9	row
14	4b8e45	test	10	column
14	4b8e45	test	11	row
14	4b8e45	test	12	row
14	4b8e45	test	13	column
14	4b8e45	test	14	column
14	4b8e45	test	15	row
14	4b8e45	test	16	column
14	4b8e45	test	17	row
14	4b8e45	test	18	column
14	4b8e45	test	19	row
14	4b8e45	test	20	column
14	4b8e45	test	21	row
14	4b8e45	test	22	row
14	4b8e45	test	23	column
14	4b8e45	test	24	column
14	4b8e45	test	25	column
14	4b8e45	test	26	row
14	4b8e45	test	27	row
14	4b8e45	test	28	column
14	4b8e45	test	29	column
14	4b8e45	test	30	row
14	4b8e45	test	31	column
14	4b8e45	test	32	row
14	4b8e45	test	33	column
14	4b8e45	test	34	row
14	4b8e45	test	35	column
14	4b8e45	test	36	row
14	4b8e45	test	37	column
14	4b8e45	test	38	row
14	4b8e45	test	39	row
14	4b8e45	test	40	column
14	4b8e45	test	41	row
14	4b8e45	test	42	row
14	4b8e45	test	43	column
14	4b8e45	test	44	column
14	4b8e45	test	45	row
14	4b8e45	test	46	column
14	4b8e45	test	47	row
14	4b8e45	test	48	column
14	4b8e45	test	49	column
14	4b8e45	test	50	column
14	4b8e45	test	51	row
14	4b8e45	test	52	column
14	4b8e45	test	53	row
14	4b8e45	test	54	column
14	4b8e45	test	55	row
14	4b8e45	test	56	row
14	4b8e45	test	57	row
14	4b8e45	test	58	column
14	4b8e45	test	59	column
14	4b8e45	test	60	row
14	4b8e45	test	61	column
14	4b8e45	test	62	row
14	4b8e45	test	63	column
14	4b8e45	test	64	row
17	93a464	questionnaire	1	column
17	93a464	practice	1	column
17	93a464	practice	2	column
17	93a464	practice	3	column
17	93a464	practice	4	column
17	93a464	practice	5	column
17	93a464	practice	6	column
17	93a464	practice	7	column
17	93a464	practice	8	column
17	93a464	practice	9	column
17	93a464	practice	10	column
17	93a464	practice	11	column
17	93a464	practice	12	column
17	93a464	practice	13	column
17	93a464	practice	14	column
17	93a464	practice	15	column
17	93a464	practice	16	column
17	93a464	practice	17	column
17	93a464	practice	18	column
17	93a464	practice	19	column
17	93a464	practice	20	column
17	93a464	practice	21	column
