subject_id	dtest_solved	dtest_duration	dtest_num_attempts	dtest_skipped	gender	age	education	edu_status	prior_exposure	prior_attempt	prior_completed	m_alg	m_geom	m_trig	m_sv_calc	m_mv_calc	m_linalg	m_pr_stat	m_disc	m_logic	q_attn_check1	q_attn_check2	q_attn_check3	q_puzzle	q_puzzle_digit	digit_target	digit_distractor	q_confidence	q_strategy	q_digit_selection	q_digit_notice	q_hint_select	q_hint_explain	q_digit_check	q_check_strategy	q_check_strategy_select	q_additional_info	tut_house	sid_hash
0	True	99.728	1	False	Female	53	asso	Completed	Yes	Yes	10 or more	True	True	False	False	False	False	False	False	False																			9c2d62
1	True	144.011	1	False	Male	50	asso	Completed	Yes	Yes	10 or more	True	True	True	False	False	True	False	False	True																			44b47e
2	True	176.714	1	False	Female	31	hs	Completed	Yes	Yes	1 to 3	True	True	False	False	False	False	False	False	False																			b8cefc
3	True	195.221	1	False	Male	36	bach	Completed	Yes	Yes	7 to 9	True	True	False	True	True	False	True	False	False																			719d08
4	False		0	True	Male	30	mast	Completed	Yes	Yes	7 to 9	True	False	False	False	True	False	False	True	False																			562ac2
5	True	57.677	1	False	Female	26	prof	Completed	Yes	Yes	10 or more	True	True	False	True	True	False	True	False	False																			c7b840
6	True	446.079	1	False	Male	30	bach	Completed	Yes	Yes	4 to 6	False	True	False	False	False	False	False	False	False																			ad1287
7	True	53.105	1	False	Male	35	mast	Completed	Yes	Yes	10 or more	True	True	False	True	False	False	True	False	False																			c8d06a
8	True	47.899	1	False	Female	62	asso	Completed	Yes	Yes	10 or more	True	True	True	False	False	True	True	False	False																			894a8d
9	True	153.409	1	False	Male	46	hs	Completed	Yes	Yes	10 or more	True	False	False	False	False	False	False	False	False																			8b2275
10	True	227.343	2	False	Male	36	asso	Completed	Yes	Yes	10 or more	True	True	False	False	False	False	False	False	False																			2a082d
11	False		0	True	Female	30	bach	Completed	Yes	Yes	1 to 3	False	False	False	False	False	True	False	False	False																			2243d0
12	False		0	True	Male	19	bach	Currently pursuing	No	No	None	True	True	True	True	False	False	True	False	True	True	True	False	target	2.0	2.0	3.0	100.0	First I scanned the white area to see what two numbers repeated (in this case, 3 and 2). I then looked for the one line in which there was only one number with a an empty blue space (there is a line like this in every puzzle). In this puzzle it was 2, so I know the blue blank must be three. That means the green blank space must be 2. In many of the puzzles, I simply looked for this number and filled in the blank. To be clear, I did not rest on this strategy at first, but after so many puzzles, I was able to figure out a short cut to get to the end. Hope this helps. Best of luck on the research. 	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	The 2 in the middle column. This told me that the green blank must be 2. 	['targetSingle']	All other cells negated, if there's a two in that row, it must mean the blank in that row is three, which also means that the green blank must be 2.	No, I just submitted my original guess without checking any further.			"1. Look for what two numbers repeat in the white space
2. Find the 3 x 3 cell containing those two numbers and ignore that part of the puzzle
3. Find the rows/columns with both of those numbers and ignore them
4. Look for the row/column with one of the two numbers and a blue space
5. The answer is that number "	row	3658b7
13	False		0	True	Female	41	hs	Currently pursuing	Yes	Yes	None	True	True	True	False	False	False	False	False	False	True	True	False	distractor	6.0	7.0	6.0	10.0	I tried to eliminate all of the possible crossways where the numbers 7 or 6 could intersect already with the green square and tried to do a process of elimination to get to the right answer. I took all of the possible routes up and across but there was no real possible way to get a definite answer so I ended up choosing the most likely one from my gut feeling.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		['targetSingle']					I had to look at the pattern of where the 6's and 7's were in relation to the blue line on each turn and decide which seemed the most likely number to fall in the green square based on the pattern that I could ascertain which led me to lean towards 6 as opposed to 7.	column	f20db5
14	False		0	True	Female	34	bach	Completed	Yes	No	None	True	True	False	True	True	True	True	True	True	True	True	False	target	6.0	6.0	5.0	100.0	First, since I noticed that two numbers were always given as clues, I would figure out which two numbers I'd be seeing fit. Then I'd look at each empty box on the blue line, starting left and going right (or up to down for vertical blue lines). For each box, I'd determine which number couldn't go there. If a number COULD go there, I knew that that wasn't the right answer and that the other number was the answer.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		['targetSingle']					None- I think that I explained my decision-making to the best of my abilities	row	4b8e45
15	True	55.438	1	False	Male	64	mast	Completed	Yes	Yes	4 to 6	True	True	True	True	False	True	True	False	True																			e2cada
16	True	65.531	1	False	Female	26	bach	Completed	Yes	Yes	4 to 6	True	True	True	True	True	True	True	True	True																			118ed0
17	False		0	True	Female	68	asso	Completed	Yes	No	None	True	True	True	False	False	False	True	False	False	True	True	True	target	7.0	7.0	8.0	75.0	I first looked for all the numbers in a row column or box. Ithen looked if there was any colored numbers in that row.  If there was 2 numbers, including colored, I eliminated those. I picked the one number that seemed to be by itself.  If the colored number was full, I watched that.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	If there were too many numbers in a  row, column or box.  They were then eliminated. It was hard. It took me a while to figure out the problem anf pick a correct number. Repetition helped.	['distractorBox', 'targetBox', 'distractorSingle', 'targetDouble', 'distractorDouble']	They were in rows and columns. The eights and sevens had multiple possibilities	Yes, I checked to see whether the candidate was actually correct.	It was the only one that didn't fit for multiple answers.	I looked at other numbers in the puzzle until I noticed something that helped me decide whether or not the candidate was correct.	rows, columns, and the boxes were the key ingredient that I used.  When those were decided I would look to see if they fit in the colored cells for filled cells.  It was hard.	column	93a464
18	True	68.811	1	False	Male	30	phd	Currently pursuing	Yes	Yes	10 or more	True	True	True	True	True	True	True	True	True																			a81bff
19	False		0	True	Male	20	hs	Completed	Yes	No	None	True	True	False	False	False	False	False	False	False	True	True	False	target	2.0	2.0	4.0	50.0	I am sorry, to be honest, I had gone with my gut feeling because I could not comprehend the instructions.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		['distractorBox', 'targetBox', 'distractorSingle', 'targetDouble', 'distractorDouble']					I just knew that the answer was either 2 or 4. Or the numbers that appeared the most in each puzzle.	column	1a7f1c
20	True	134.141	1	False	Male	27	bach	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	True	False	False																			a475b5
21	True	51.935	1	False	Male	27	bach	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	True	True	True																			7e6edc
22	False	44.224	3	False	Male	30	mast	Completed	No	No	None	False	False	False	False	False	False	True	False	False	True	True	False	distractor	9.0	2.0	9.0	80.0	good	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	Best performance.	['distractorSingle']	A performance is good appriciated.	Yes, I checked to see whether the candidate was actually correct.	A testing in the task.	I looked at other numbers in the puzzle until I noticed something that helped me decide whether or not the candidate was correct.	good	row	8f71f3
23	True	32.629	1	False	Female	25	bach	Completed	Yes	Yes	10 or more	True	True	True	False	False	False	True	False	False																			3f783d
24	True	127.843	1	False	Female	59	bach	Completed	Yes	Yes	10 or more	True	True	True	True	False	False	False	False	False																			cf4757
25	False	39.079	4	False	Male	32	hs	Completed	Yes	Yes	1 to 3	False	True	False	False	False	False	False	False	False																			52ed19
26	False		0	True	Prefer not to say	42	hs	Completed	Yes	No	None	True	False	False	False	False	False	False	False	False	True	True	False	distractor	1.0	8.0	1.0	10.0	I guessed. I do not understand Suduko, at all.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		['distractorSingle']					I have no idea what is going on, apparently I have been lucky at solving the puzzles.	column	2d7565
27	True	86.286	1	False	Male	25	bach	Completed	Yes	Yes	4 to 6	True	True	True	False	False	False	False	False	False																			8508e4
28	False		0	True	Male	58	hs	Completed	Yes	Yes	None	False	False	False	False	False	False	False	False	False	True	True	False	distractor	7.0	2.0	7.0	100.0	There are only 2 possible answers 7 or a 2. I look for the number that is physically farther away from the line to be solved. 	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		['distractorSingle']					It was a coin toss for me as to which to select but 7 is farther away so I will select it most of the time. 	row	0b8ba1
29	True	154.411	1	False	Male	28	bach	Completed	Yes	Yes	10 or more	True	True	False	True	False	False	True	False	False																			c234dd
30	True	254.706	1	False	Male	26	bach	Completed	Yes	Yes	1 to 3	False	False	False	False	False	False	False	True	False																			d9563c
31	True	95.765	1	False	Female	28	mast	Completed	Yes	Yes	1 to 3	True	True	True	True	True	True	True	False	False																			ebbe52
32	True	42.64	1	False	Male	27	bach	Completed	Yes	Yes	10 or more	False	False	False	False	False	False	False	False	False																			29e875
33	True	97.128	1	False	Male	30	bach	Completed	Yes	Yes	4 to 6	True	True	False	True	False	True	False	False	True																			6413b8
34	True	213.008	1	False	Male	37	bach	Completed	Yes	Yes	4 to 6	True	True	False	False	False	False	False	False	False																			880570
35	True	68.817	1	False	Female	30	bach	Completed	Yes	Yes	10 or more	True	True	True	True	False	False	True	False	False																			e571fb
36	True	225.108	1	False	Female	29	bach	Completed	Yes	Yes	10 or more	True	True	True	False	False	False	True	False	False																			5d6b86
37	False		0	True	Female	60	bach	Completed	Yes	Yes	1 to 3	True	True	True	True	True	False	False	False	False																			cb33fc
38	True	132.454	5	False	Male	35	asso	Completed	Yes	No	1 to 3	True	True	False	True	True	True	False	True	False																			601f94
39	True	65.441	1	False	Male	61	phd	Completed	Yes	Yes	4 to 6	True	False	True	False	False	False	False	False	False																			cd2814
40	True	156.607	1	False	Male	35	bach	Completed	Yes	Yes	10 or more	True	True	True	False	False	True	False	False	True																			2c2afd
41	True	64.084	1	False	Male	30	mast	Completed	Yes	Yes	10 or more	True	True	True	True	False	False	True	False	True																			66c7b0
42	False		0	True	Female	35	mast	Completed	Yes	Yes	None	True	True	True	False	False	True	True	False	False	True	True	False	target	2.0	2.0	9.0	85.0	I tried to figure out which blue boxes could not be 9 or 2. that helped me determine that the green box could only be 2	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	One blue box could only eliminate one number and not the other	['emptySingle']	that is the only box that could eliminate 2 but not 9	No, I just submitted my original guess without checking any further.			"9 and 2 could not be in the top three boxes
9 and 2 could not be in the 4th blue box (above the green box)
In the blue box between the 5 and three it could not be 2 so i assumed 9 could go there. 
The only space left for the 2 would be the green box"	column	847f08
43	False		0	True	Female	26	asso	Completed	Yes	Yes	None	True	True	False	True	False	True	True	False	False	True	True	True	target	9.0	9.0	2.0	100.0	"As a beginner to Sudoku, it was tempting to start solving the puzzle by looking at the bright-colored green box, first. However, over time, I realized that I could win faster by just looking at the other boxes first. Therefore, I began the puzzle by first ignoring the bright-colored green box. First, I decided to start with the blue box on the far left. I asked myself - ""Can the number 9 go in this box?"" The answer was automatically ""no,"" because there was already a number 9 in the row/column/box. Then, I asked myself the same question, for the following blue boxes. And if the answer was ""no"" for each of the empty blue boxes, then I automatically knew that the only place left for the number 9, was the bright green box. This method was quicker for me, because I didn't even have to pay attention to the other number. However, if the answer to the question ""Can a nine fit in this blue box?"" had ever been ""Yes,"" then I would have come to the conclusion that 9 was not the answer."	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	"I noticed that the number 9 could not fit into any of the other blue boxes. It could not fit in the blue box on the far left, because there was a ""9"" in that column. The 9 could not fit in the blue box to the left of the green box, because there was a 9 in that column. And finally, the 9 could not belong to any of the blue boxes on the right, because there was already a 9 in that square. So I understood that the only place that a 9 could belong, was in the green box."	['emptySingle', 'emptyDouble', 'emptyBox', 'emptyBox', 'emptyBox', 'targetBox', 'targetSingle', 'targetDouble', (3, 4), (2, 0), (3, 0), 'occupied', 'occupied', 'occupied', (0, 0), (5, 0), (6, 0), (7, 0), (8, 0), (0, 4), (5, 4), (6, 4), (7, 4), (8, 4), 'distractorDouble', (2, 6), (1, 6), (0, 6), 'distractorBox', (6, 6), (7, 6), (8, 6), (5, 7), (5, 8), (3, 8), (3, 7)]	"I judged the ""correctness"" of the number 9 by examining the columns that aligned with the blue boxes. There was already a 9 in three of the columns, so I knew that the 9 could not belong in any of the blue spaces that aligned with the columns. Next, I looked at the ""block"" of numbers where there was a 9. I saw that the 9 couldn't go there at all. Then I realized that the green square is the only place that a 9 could go."	No, I just submitted my original guess without checking any further.			"Since I understood that the answer would be either 2 or 9, I randomly decided to ""begin"" the puzzle with the number 9, from the two possible options. Then, I came to my correct answer, not by fact-checking against the placements of the number 2, but by simply eliminating the possibility that the number 9 could fit anywhere else."	row	00d893
44	False		0	True	Male	39	asso	Completed	Not sure	Yes	1 to 3	False	False	False	True	False	False	False	False	False																			4c3212
45	True	52.777	1	False	Female	20	bach	Currently pursuing	Yes	Yes	10 or more	True	True	False	True	False	False	True	False	False																			99355c
46	True	113.157	1	False	Male	33	mast	Completed	No	Yes	10 or more	False	False	False	False	True	False	False	False	False																			6d71a4
47	False	157.96	9	False	Female	36	asso	Completed	Yes	Yes	1 to 3	False	False	False	True	False	False	False	False	False																			05eb42
48	True	65.825	1	False	Female	36	mast	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	True	True	True																			eb7aa5
49	True	58.073	1	False	Male	33	bach	Completed	Yes	Yes	1 to 3	False	False	False	False	False	True	False	False	False																			ed0a8c
50	True	147.416	3	False	Female	53	bach	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	True	True	True																			df610a
51	False	48.558	5	False	Male	30	hs	Completed	No	Yes	4 to 6	False	False	False	False	False	False	True	False	False																			12623f
52	True	77.386	1	False	Female	32	bach	Completed	Yes	Yes	1 to 3	True	True	True	True	False	False	False	False	False																			91646b
53	True	77.966	1	False	Female	56	mast	Completed	Yes	Yes	10 or more	True	False	False	False	False	False	False	False	False																			6c26bf
54	False		0	True	Female	24	hs	Currently pursuing	Yes	Yes	None	True	True	False	False	False	False	False	False	False	True	True	False	distractor	7.0	4.0	7.0	75.0	The number 4 cannot be used in the green section because the number 4 is on the next line 	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	The 4 was too close the the green box and 4 could be used in other places 	['targetDouble', 'emptyDouble']	Being the 4 is closer to the cell highlighted 	Yes, I checked to see whether the candidate was actually correct.	I checked to see if the 7 would make sense in any other spot on this grid	I looked at other numbers in the puzzle until I noticed something that helped me decide whether or not the candidate was correct.	Some of the puzzles seemed easier than others. The puzzles with more numbers provided are easier 	column	ee44f6
55	True	37.175	1	False	Female	20	bach	Currently pursuing	Yes	Yes	7 to 9	True	True	True	True	True	True	True	True	False																			88fa0c
