Subject ID	sid_hash	Evaluation	correct	Actual	q_strategy	Response	PD	AoE	Basis for Choice	Second Choice	Additional Notes
1	5ae540	Correct	Correct	Correct	my strategy is very simple , add these numbers by the given number outside of the box if it is 15 i choose lowest number if its 19 or above i choose higher number , mostly i choose randomly	my strategy is very simple , add these numbers by the given number outside of the box if it is 15 i choose lowest number if its 19 or above i choose higher number , mostly i choose randomly	Vague or uncertain		F. Irrelevant basis for choice	E. Explicit guess	Response starts out by presenting a deterministic strategy that uses an irrelevant basis for choice, but concludes by claiming that "mostly I choose randomly", so it seems a bit contradictory. Also, my answer to the PD question is based on the reference to "lowest" and "higher" number.
2	9c798b	Incorrect	Incorrect	Incorrect	Whatever third of the puzzle contained two non-blue numbers, I used those two numbers as a choice. Whichever would fit in a blue square exclusively was right.	Whatever third of the puzzle contained two non-blue numbers, I used those two numbers as a choice. Whichever would fit in a blue square exclusively was right.	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
3	db5261	Correct	Correct	Correct	I located the larger square with two numbers in it (6 and 1) that also contained three small blue squares. This told me the green square would have a 6 or 1. I then checked to see if 6 could fit in one of the two remaining blue squares. Since there was already a 6 in each row I knew 6 had to be the solution for the green square.	I located the larger square with two numbers in it (6 and 1) that also contained three small blue squares. This told me the green square would have a 6 or 1. I then checked to see if 6 could fit in one of the two remaining blue squares. Since there was already a 6 in each row I knew 6 had to be the solution for the green square.	Both		A. Chose digit that cannot go elsewhere		
4	d56384	Correct	Correct	Correct	Since I'm still not very knowledgeable about Sudoku, I just looked at which number was farthest away from the empty box and chose it.	Since I'm still not very knowledgeable about Sudoku, I just looked at which number was farthest away from the empty box and chose it.	Vague or uncertain		F. Irrelevant basis for choice		
5	38a153	Incorrect	Incorrect	Incorrect	I went through a process of elimination by checking which numbers were already included in each square, since you can't duplicate numbers.     But to be honest, I'm not sure if the 1 should go in the 1st, 3rd, or 4th blue box, Or if the 4 is in the 2nd, 3rd, or 4th. Sadly, these puzzles have made me feel not very bright!	I went through a process of elimination by checking which numbers were already included in each square, since you can't duplicate numbers.     But to be honest, I'm not sure if the 1 should go in the 1st, 3rd, or 4th blue box, Or if the 4 is in the 2nd, 3rd, or 4th. Sadly, these puzzles have made me feel not very bright!	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
6	6c82a8	Correct	Correct	Correct	saw which number couldn't be elsewhere in the highlighted column	saw which number couldn't be elsewhere in the highlighted column	Target		A. Chose digit that cannot go elsewhere		
7	00d893	Correct	Correct	Correct	As a beginner to Sudoku, it was tempting to start solving the puzzle by looking at the bright-colored green box, first. However, over time, I realized that I could win faster by just looking at the other boxes first. Therefore, I began the puzzle by first ignoring the bright-colored green box. First, I decided to start with the blue box on the far left. I asked myself - "Can the number 9 go in this box?" The answer was automatically "no," because there was already a number 9 in the row/column/box. Then, I asked myself the same question, for the following blue boxes. And if the answer was "no" for each of the empty blue boxes, then I automatically knew that the only place left for the number 9, was the bright green box. This method was quicker for me, because I didn't even have to pay attention to the other number. However, if the answer to the question "Can a nine fit in this blue box?" had ever been "Yes," then I would have come to the conclusion that 9 was not the answer.	As a beginner to Sudoku, it was tempting to start solving the puzzle by looking at the bright-colored green box, first. However, over time, I realized that I could win faster by just looking at the other boxes first. Therefore, I began the puzzle by first ignoring the bright-colored green box. First, I decided to start with the blue box on the far left. I asked myself - "Can the number 9 go in this box?" The answer was automatically "no," because there was already a number 9 in the row/column/box. Then, I asked myself the same question, for the following blue boxes. And if the answer was "no" for each of the empty blue boxes, then I automatically knew that the only place left for the number 9, was the bright green box. This method was quicker for me, because I didn't even have to pay attention to the other number. However, if the answer to the question "Can a nine fit in this blue box?" had ever been "Yes," then I would have come to the conclusion that 9 was not the answer.	Both		A. Chose digit that cannot go elsewhere	B. One PD can go elsewhere, chose the other	Response seems to imply that they were ready to use basis B, depending on what they concluded about the first candidate answer, although this isn't made explicit. This is because they make reference to "the other number", and in the last sentence, describe the thought that they might not have chosen 9 under certain conditions. Whether this means they would have chosen "the other number" is unclear but plausible, hence B as second choice.
8	5b8bc0	Correct	Correct	Correct	I eliminated the five and one from the final three boxes because they were already filled in the other two boxes of the 3x3 box so they cannot be shared. I then looked at columns that had five and one, and two columns had 5 and one column had one. The two columns couldn't have five twice, so I only remained with one possibility, that's why I placed the number in the box with certainty.	I eliminated the five and one from the final three boxes because they were already filled in the other two boxes of the 3x3 box so they cannot be shared. I then looked at columns that had five and one, and two columns had 5 and one column had one. The two columns couldn't have five twice, so I only remained with one possibility, that's why I placed the number in the box with certainty.	Both		A. Chose digit that cannot go elsewhere	C. Found cell where one PD could go and the other could not	Response is primarily centered around basis A, but "two columns had 5 and one column had one" seems to imply basis C as well.
9	832f1f	Correct	Correct	Correct	Looking at the most shown numbers given and comparing to the other numbers given, you can figure out the correct number that is missing.	Looking at the most shown numbers given and comparing to the other numbers given, you can figure out the correct number that is missing.	Both		H. Unclear, confused or missing basis		
10	9b3e67	Incorrect	Incorrect	Incorrect	I am still struggling how to do this. I looked to see if there was another 4 & 8, and seemed that 4 may be the answer. Apparently not. :(	I am still struggling how to do this. I looked to see if there was another 4 & 8, and seemed that 4 may be the answer. Apparently not. :(	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
