Subject ID	sid_hash	Response	PD AN	PD JM	Basis AN	Basis JM	Notes AN	Notes JM
1	ca04a1	The middle box on the left has both a 7 and a 4. I then looked in the row of the 7 of that box and saw the 4 on the same row on the box on the right hand side. This eliminated the possibility of the blue box of that row being either 7 or 4. And because the box in the middle of the left side also contains a 4, that meant the blue box of that same row could be a 7. Thus, the answer was 4.	Both	Both	C. Found cell where one PD could go and the other could not	B. One PD can go elsewhere, chose the other		
2	1245bf	I eliminated the 3 x 3 box containing the 3 and 1. Next I looked at the columns and eliminated the places the 1 and 3 could go.	Both	Both	D. Potentially valid but general or not fully specified	D. Potentially valid but general or not fully specified	Process of elimination, but doesn't explain why answer was chosen.	Could be H - but lean toward D
3	b5c803	The top middle box already has a 1. The blue square in the middle box can't have a 1 because there's a 1 in that row already. The blue square in the bottom box can't have a 1 because there's a 1 in that row already.	Target	Target	A. Chose digit that cannot go elsewhere	A. Chose digit that cannot go elsewhere		The rule is implicit in this case, but the strategy is clear.
4	1833ce	I used the process of elimination. The number had to be either 3 or 5. I went empty cell by empty cell and determined the only possible number.	Both	Both	D. Potentially valid but general or not fully specified	D. Potentially valid but general or not fully specified	Process of elimination, but doesn't explain why answer was chosen.	Hard to choose between D and H
5	2e8ec7	I figured that it had to be 8 because nothing else in that row could be 2. Next i checked the surrounding boxes to see which number would best fit. Or whatever number shared the same box or or row and collumn. If they did share columns i would make my final decision.	Both	Both	H. Unclear, confused or missing basis	H. Unclear, confused or missing basis	***Backwards. If they said "could be 8", or replaced "nothing" with "something" then it'd be correct.	Nothing else could be 2 is confused or confusing
6	c9e275	i confidence. i strongly says this one 6.	Neither	Target	H. Unclear, confused or missing basis	H. Unclear, confused or missing basis		
7	4ae018	Find a row or column with 3 numbers. Select a pair that are not in the 3 numbers (this will be obvious from the other numbers not in the row - but maybe not in a fully populated puzzle). Then try to put the pair in every cell other than origin, like they are immigrants looking for a home. If both fit, move on. When one fails to fit, it will fit in origin.	Both	Both	C. Found cell where one PD could go and the other could not	C. Found cell where one PD could go and the other could not	*** Backwards I'm guessing they meant to say "If both don't fit", and when they find a cell that only one PD can go, that's the answer. There's never a case where both fit, so it seems reasonable to assume they made a mistake in their description.	Could have been clearer but it's interesting that they are aware this only applies to our puzzles!  I like the immigrants looking for a home!  If both fit is actually not stated correctly -- if neither fit, move on!  So H could be a strict assignment!
8	c23ac3	I found 7 would be the right choice when compared to other boxes	Neither	Target	H. Unclear, confused or missing basis	H. Unclear, confused or missing basis		
9	b26711	Where can 2 go	Neither	Target	I. Did not answer the question	H. Unclear, confused or missing basis		Almost qualifies for 'did not answer the question'
10	a5148a	i counted from 1 thru 9 to see if it would fit	Neither	Neither	H. Unclear, confused or missing basis	H. Unclear, confused or missing basis		d or H??
11	847f08	I tried to figure out which blue boxes could not be 9 or 2. that helped me determine that the green box could only be 2	Both	Both	D. Potentially valid but general or not fully specified	D. Potentially valid but general or not fully specified	Process of elimination, but doesn't explain why answer was chosen.	
12	783c6f	i choose randomly .	Neither	Neither	E. Explicit guess	E. Explicit guess		
13	80cc0e	I looked along the blue boxes and saw which ones didn't have the number 9 or 7 in them. Then I looked at the individual squares to see which already had 9 or 7 and eliminated those from my answer. The answer I chose was the only spot left it would fit.	Both	Both	A. Chose digit that cannot go elsewhere	H. Unclear, confused or missing basis		d or H??
14	1460a0	I looked the the top column first and saw the 8 and 1 were in the same box so I could rule out the top box. I then moved down to the middle 3x3 box and saw both an 8 and 1 so that rules that box out. I lastly went to the last box and saw that that blue box could not be 1 but could be 8. Therefore I could figure out that the green box was a 1 and not an 8.	Both	Both	C. Found cell where one PD could go and the other could not	C. Found cell where one PD could go and the other could not		
15	6ffc51	I used my experience and learned about these type of skills	Neither	Neither	H. Unclear, confused or missing basis	I. Did not answer the question		
16	880ada	The row to the right already has a number in the blue square and the row beside it would be 7, so since there is already a seven in the row, that only leave a 9 for the green square.	Both	Both	B. One PD can go elsewhere, chose the other	B. One PD can go elsewhere, chose the other	Seems like they're using 'row' to mean 'cell', and determined that the empty cell can contain 7	The word choice is poor but he seems to say that 7 must go in the 2nd cell from the right, which is correct, thus making the 9 the answer
