epoch	loss	accuracy	solved	dataset	run_id
0	2.2214317	0.07724787	0.0	train	2
1	0.93408	0.69843984	0.048722222	train	2
2	0.5388027	0.885024	0.40702224	train	2
3	0.4843948	0.911155	0.49878335	train	2
4	0.46553022	0.92198884	0.5355389	train	2
5	0.4540475	0.9287113	0.5585	train	2
6	0.44569722	0.93358076	0.57696664	train	2
7	0.4401488	0.93699723	0.58724445	train	2
8	0.43474564	0.9401479	0.6000278	train	2
9	0.4318549	0.9417087	0.60629445	train	2
10	0.42695233	0.9445288	0.61740553	train	2
11	0.42697313	0.94482124	0.6181222	train	2
12	0.4250313	0.9460994	0.6230722	train	2
13	0.41779864	0.94961613	0.6366444	train	2
14	0.41471305	0.9514923	0.6453556	train	2
15	0.41824806	0.9499591	0.6392611	train	2
16	0.40984678	0.9542382	0.6553556	train	2
17	0.41020906	0.953932	0.65641665	train	2
18	0.40623057	0.95622367	0.6650778	train	2
19	0.41094774	0.9532777	0.6554389	train	2
20	0.4047276	0.95700055	0.67056113	train	2
21	0.402406	0.95851064	0.6771111	train	2
22	0.40230438	0.95860803	0.6785778	train	2
23	0.40177572	0.95871687	0.6796667	train	2
24	0.39885786	0.9603595	0.6865445	train	2
25	0.39737695	0.96121365	0.6915445	train	2
26	0.39605114	0.9620857	0.6964389	train	2
27	0.3944873	0.96295065	0.6998167	train	2
28	0.39579695	0.96224195	0.69685555	train	2
29	0.39339265	0.9634849	0.7043667	train	2
30	0.39187947	0.96426076	0.7080389	train	2
31	0.39220664	0.96401566	0.7060778	train	2
32	0.3920549	0.96409917	0.7066111	train	2
33	0.38995707	0.9653392	0.7122722	train	2
34	0.3895897	0.96564525	0.7147167	train	2
35	0.38917264	0.9657415	0.7143889	train	2
36	0.3895053	0.96550685	0.7145111	train	2
37	0.39321893	0.96360886	0.70721114	train	2
38	0.3909497	0.9645602	0.71011114	train	2
39	0.38932726	0.9655125	0.71383333	train	2
40	0.39536315	0.96240294	0.70105	train	2
41	0.3879523	0.9661382	0.71790004	train	2
42	0.38638338	0.96722865	0.72263336	train	2
43	0.38598248	0.9674201	0.7237167	train	2
44	0.39394066	0.9631378	0.70545	train	2
45	0.38531017	0.96775824	0.7250389	train	2
46	0.38604057	0.96724176	0.72268337	train	2
47	0.38695753	0.9667767	0.7210611	train	2
48	0.38422552	0.96833867	0.72866666	train	2
49	0.38398865	0.96838665	0.7284889	train	2
50	0.38414153	0.968285	0.7281167	train	2
51	0.3833318	0.96879953	0.73053336	train	2
52	0.38305444	0.9690182	0.7312056	train	2
53	0.3836962	0.9686269	0.72908336	train	2
54	0.38269117	0.96918374	0.73142225	train	2
55	0.3826444	0.9692468	0.7317278	train	2
56	0.38245043	0.9691972	0.73172224	train	2
57	0.3822134	0.9694497	0.7322722	train	2
58	0.38193417	0.96968246	0.7335611	train	2
59	0.3810269	0.97005516	0.7353611	train	2
60	0.38174522	0.9696995	0.7336778	train	2
61	0.380848	0.97005355	0.73632777	train	2
62	0.38145426	0.9698121	0.73535556	train	2
63	0.38055056	0.9703084	0.7374778	train	2
64	0.381037	0.9699899	0.7349667	train	2
65	0.38097316	0.97012204	0.7360333	train	2
66	0.38015035	0.9704904	0.7385278	train	2
67	0.38035077	0.97028667	0.7384889	train	2
68	0.38054314	0.97032535	0.7367778	train	2
69	0.38020217	0.9703832	0.73866665	train	2
70	0.3793686	0.97085863	0.74051666	train	2
71	0.37995073	0.970431	0.7386778	train	2
72	0.37915704	0.9709399	0.7406667	train	2
73	0.3791181	0.97093046	0.74158335	train	2
74	0.37908778	0.9710438	0.74061114	train	2
75	0.37920693	0.9709577	0.74159443	train	2
76	0.37868533	0.9710937	0.74223334	train	2
77	0.37923658	0.97095704	0.74061114	train	2
78	0.37923655	0.970932	0.74037224	train	2
79	0.37819138	0.97144276	0.74392223	train	2
80	0.379044	0.9710106	0.7428611	train	2
81	0.3789033	0.97112155	0.7419	train	2
82	0.37827104	0.97135204	0.7432278	train	2
83	0.37860772	0.9713323	0.7430278	train	2
84	0.37743157	0.9718008	0.7456167	train	2
85	0.3778144	0.9715995	0.74395	train	2
86	0.37727016	0.97192556	0.7462389	train	2
87	0.37802055	0.97145855	0.7443	train	2
88	0.37701514	0.9720508	0.74572223	train	2
89	0.3769423	0.97210956	0.7458444	train	2
90	0.37692547	0.97209	0.7474222	train	2
91	0.37753317	0.97176754	0.74510556	train	2
92	0.37704065	0.9720375	0.7466111	train	2
93	0.37663916	0.97216326	0.7469556	train	2
94	0.37663028	0.9722855	0.7469444	train	2
95	0.37636888	0.9724111	0.74822223	train	2
96	0.37631226	0.97239125	0.74840003	train	2
97	0.3760953	0.9725478	0.7492667	train	2
98	0.37611657	0.9725276	0.7478778	train	2
99	0.3763043	0.9724	0.7488222	train	2
100	0.37671882	0.97217244	0.74719447	train	2
0	2.2214272	0.077122085	0.0	test	2
1	0.6127524	0.8532791	0.29227778	test	2
2	0.5049163	0.90310216	0.4923889	test	2
3	0.47424728	0.9178031	0.52816665	test	2
4	0.46188015	0.92377913	0.5312778	test	2
5	0.4502147	0.93057543	0.5755	test	2
6	0.4645671	0.9229053	0.5517222	test	2
7	0.43885112	0.93586004	0.57633334	test	2
8	0.43360943	0.94081825	0.60583335	test	2
9	0.427507	0.94302124	0.6097778	test	2
10	0.43053305	0.9416982	0.5987778	test	2
11	0.42402184	0.94653565	0.6346667	test	2
12	0.42039838	0.9488971	0.6415	test	2
13	0.41661346	0.9512174	0.65305555	test	2
14	0.41431183	0.951751	0.64783335	test	2
15	0.412851	0.9526927	0.6556111	test	2
16	0.4078642	0.95513785	0.6571111	test	2
17	0.41131955	0.9518964	0.6302222	test	2
18	0.40763998	0.9560103	0.66844445	test	2
19	0.41196612	0.95355004	0.66672224	test	2
20	0.40263247	0.9577325	0.6755556	test	2
21	0.40073818	0.95864815	0.6753333	test	2
22	0.3993445	0.960192	0.69222224	test	2
23	0.39818817	0.96123457	0.7023889	test	2
24	0.3992418	0.9600089	0.69405556	test	2
25	0.3996304	0.96005625	0.6862778	test	2
26	0.40161666	0.95969886	0.68844444	test	2
27	0.39533353	0.9617044	0.6935	test	2
28	0.3940967	0.9634458	0.70761114	test	2
29	0.3951604	0.9638244	0.72422224	test	2
30	0.39343193	0.96229213	0.69644445	test	2
31	0.39103064	0.96392727	0.70611113	test	2
32	0.39145312	0.96474487	0.7195	test	2
33	0.39066064	0.9648292	0.7141111	test	2
